rdf-schema#label,birthDate,birthYear,deathDate,occupation_label,occupation,Occupation_g,Actor,Politician,Athlete,deathCause_label,deathCause,Cause_of_Death_cat,title
John E. Davis (North Dakota politician),1913-04-18,1913-01-01T00:00:00+02:00,1990-05-12,,,['politician'],False,True,True,,,,
John Howard (American actor),1913-04-14,1913-01-01T00:00:00+02:00,1995-02-19,,,['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
John MacLeod (politician),1913-02-23,1913-01-01T00:00:00+02:00,1984-06-03,,,['politician'],False,True,True,,,,
John Marriott (Australian politician),1913-02-16,1913-01-01T00:00:00+02:00,1994-04-13,,,['politician'],False,True,True,,,,
Kalervo Nissilä,{1913-06-11|1913-07-11},1913-01-01T00:00:00+02:00,1997-03-30,{Actor|Kalervo_Nissil%C3%A4__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kalervo_Nissil%C3%A4__1},['actor'],True,False,False,,,,
Kan Yuet-keung,1913-07-26,1913-01-01T00:00:00+02:00,{2012-01-01T00:00:00+02:00|2012-09-14},{Politician|Solicitor|Bank},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Solicitor|http://dbpedia.org/resource/Bank},['politician'],False,True,True,,,,
Azat Sherents,1913-04-05,1913-01-01T00:00:00+02:00,1993-12-25,{Actor|Azat_Sherents__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Azat_Sherents__1},['actor'],True,False,False,,,,
Balakrishna (Kannada actor),1913-11-02,1913-01-01T00:00:00+02:00,1995-07-19,Balakrishna_(Kannada_actor)__1,http://dbpedia.org/resource/Balakrishna_(Kannada_actor)__1,['actor'],True,False,False,,,,
Balraj Sahni,1913-05-01,1913-01-01T00:00:00+02:00,1973-04-13,{Actor|Writer|Balraj_Sahni__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Balraj_Sahni__1},['actor'],True,False,False,,,,
Anthony Dexter,1913-01-19,1913-01-01T00:00:00+02:00,2001-03-27,{Actor|Anthony_Dexter__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Anthony_Dexter__1},['actor'],True,False,False,Stroke,http://dbpedia.org/resource/Stroke,Disease,
Antoinette Cellier,1913-06-23,1913-01-01T00:00:00+02:00,1981-01-18,{Actor|Antoinette_Cellier__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Antoinette_Cellier__1},['actor'],True,False,False,,,,
Arthur Cotton (politician),1913-01-23,1913-01-01T00:00:00+02:00,1920-12-06,,,['politician'],False,True,True,,,,
Arthur Griffith (Australian politician),1913-04-22,1913-01-01T00:00:00+02:00,1982-11-17,,,['politician'],False,True,True,,,,
Omer Vanaudenhove,1913-12-03,1913-01-01T00:00:00+02:00,1994-11-26,{Politician|Omer_Vanaudenhove__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Omer_Vanaudenhove__1},['politician'],False,True,True,,,,
Reginald Moss (UK politician),1913-12-05,1913-01-01T00:00:00+02:00,1995-05-28,,,['politician'],False,True,True,,,,
Alberto Talegalli,1913-10-02,1913-01-01T00:00:00+02:00,1961-07-17,{Actor|Alberto_Talegalli__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Alberto_Talegalli__1},['actor'],True,False,False,,,,
Aleksander Bardini,1913-11-17,1913-01-01T00:00:00+02:00,1995-07-30,{Actor|Aleksander_Bardini__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Aleksander_Bardini__1},['actor'],True,False,False,,,,
Richard Fraser (actor),1913-03-15,1913-01-01T00:00:00+02:00,1972-01-01T00:00:00+02:00,{Actor|Richard_Fraser_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Richard_Fraser_(actor)__1},['actor'],True,False,False,,,,
Richard Reader Harris (politician),1913-06-04,1913-01-01T00:00:00+02:00,2009-07-07,,,['politician'],False,True,True,,,,
Richard Simmons (actor),1913-08-19,1913-01-01T00:00:00+02:00,2003-01-11,Richard_Simmons_(actor)__1,http://dbpedia.org/resource/Richard_Simmons_(actor)__1,['actor'],True,False,False,,,,
Richard Smart (actor),1913-05-21,1913-01-01T00:00:00+02:00,1992-07-04,Richard_Smart_(actor)__1,http://dbpedia.org/resource/Richard_Smart_(actor)__1,['actor'],True,False,False,,,,
Richard Travis (actor),1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,1989-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,
Robert Christie (actor),1913-09-20,1913-01-01T00:00:00+02:00,1996-05-22,Robert_Christie_(actor)__1,http://dbpedia.org/resource/Robert_Christie_(actor)__1,['actor'],True,False,False,,,,
Robert Lowery (actor),1913-10-17,1913-01-01T00:00:00+02:00,1971-12-26,{Actor|Robert_Lowery_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Robert_Lowery_(actor)__1},['actor'],True,False,False,,,,
Robert Meyers (politician),1913-12-23,1913-01-01T00:00:00+02:00,2007-03-26,,,['politician'],False,True,True,,,,
Robert Strauss (actor),1913-11-08,1913-01-01T00:00:00+02:00,1975-02-20,{Actor|Robert_Strauss_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Robert_Strauss_(actor)__1},['actor'],True,False,False,,,,
Eve Lister,1913-12-12,1913-01-01T00:00:00+02:00,1997-01-31,{Actor|Eve_Lister__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eve_Lister__1},['actor'],True,False,False,,,,
George Shaw (Australian politician),1913-07-28,1913-01-01T00:00:00+02:00,1966-01-09,,,['politician'],False,True,True,,,,
Gig Young,1913-11-04,1913-01-01T00:00:00+02:00,1978-10-19,{Actor|Gig_Young__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gig_Young__1},['actor'],True,False,False,,,,
Morton Cohen (politician),1913-09-19,1913-01-01T00:00:00+02:00,1968-01-14,,,['politician'],False,True,True,,,,
Myrtle Devenish,1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,2007-01-21,{Actor|Myrtle_Devenish__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Myrtle_Devenish__1},['actor'],True,False,False,,,,
Bill Thompson (voice actor),1913-07-08,1913-01-01T00:00:00+02:00,1971-07-15,,,['actor'],True,False,False,Septic shock,http://dbpedia.org/resource/Septic_shock,,
Bill Young (New Zealand politician),1913-11-13,1913-01-01T00:00:00+02:00,2009-07-14,,,['politician'],False,True,True,,,,
Bob Bailey (actor),1913-06-13,1913-01-01T00:00:00+02:00,1983-08-13,{Film|Radio|Bob_Bailey_(actor)__1},{http://dbpedia.org/resource/Film|http://dbpedia.org/resource/Radio|http://dbpedia.org/resource/Bob_Bailey_(actor)__1},['actor'],True,False,False,,,,
Jim Lind (politician),1913-03-08,1913-01-01T00:00:00+02:00,1980-04-22,,,['politician'],False,True,True,,,,
Andy Barr (Irish politician),1913-09-23,1913-01-01T00:00:00+02:00,2003-03-30,,,['politician'],False,True,True,,,,
Leo Connellan (politician),1913-06-28,1913-01-01T00:00:00+02:00,1998-04-09,,,['politician'],False,True,True,,,,
Leo Riuttu,1913-06-05,1913-01-01T00:00:00+02:00,1989-08-04,{Actor|Leo_Riuttu__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Leo_Riuttu__1},['actor'],True,False,False,,,,
Leona Troxell,1913-04-22,1913-01-01T00:00:00+02:00,2003-07-26,{Arkansas|Government|Activism|Leona_Troxell__1|Leona_Troxell__2|Leona_Troxell__3},{http://dbpedia.org/resource/Arkansas|http://dbpedia.org/resource/Government|http://dbpedia.org/resource/Activism|http://dbpedia.org/resource/Leona_Troxell__1|http://dbpedia.org/resource/Leona_Troxell__2|http://dbpedia.org/resource/Leona_Troxell__3},['politician'],False,True,True,,,,
Les Norman (politician),1913-09-03,1913-01-01T00:00:00+02:00,1997-07-05,,,['politician'],False,True,True,,,,
Lex Goudsmit,1913-03-15,1913-01-01T00:00:00+02:00,1999-12-10,{Actor|Lex_Goudsmit__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lex_Goudsmit__1},['actor'],True,False,False,Circulatory system,http://dbpedia.org/resource/Circulatory_system,,
Lise Delamare,1913-04-09,1913-01-01T00:00:00+02:00,2006-07-25,{Actor|Lise_Delamare__1|Lise_Delamare__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lise_Delamare__1|http://dbpedia.org/resource/Lise_Delamare__2},['actor'],True,False,False,,,,
Lou Jacobi,1913-12-28,1913-01-01T00:00:00+02:00,2009-10-23,{Actor|Lou_Jacobi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lou_Jacobi__1},['actor'],True,False,False,,,,
Ferenc Szécsi,{1913-01-01T00:00:00+02:00|1913-07-11},1913-01-01T00:00:00+02:00,{1974-01-01T00:00:00+02:00|1974-03-01},{Actor|Ferenc_Sz%C3%A9csi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ferenc_Sz%C3%A9csi__1},['actor'],True,False,False,,,,
Francis de Wolff,1913-01-07,1913-01-01T00:00:00+02:00,1984-04-18,{Actor|Francis_de_Wolff__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Francis_de_Wolff__1},['actor'],True,False,False,,,,
Marvin Miller (actor),1913-07-18,1913-01-01T00:00:00+02:00,1985-02-08,Marvin_Miller_(actor)__1,http://dbpedia.org/resource/Marvin_Miller_(actor)__1,['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Hilda Gobbi,1913-06-06,1913-01-01T00:00:00+02:00,1988-07-13,{Actor|Hilda_Gobbi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hilda_Gobbi__1},['actor'],True,False,False,,,,
Hisaya Morishige,1913-05-04,1913-01-01T00:00:00+02:00,2009-11-10,{Lyricist|Actor|Announcer|Composer|Hisaya_Morishige__1},{http://dbpedia.org/resource/Lyricist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Announcer|http://dbpedia.org/resource/Composer|http://dbpedia.org/resource/Hisaya_Morishige__1},['actor'],True,False,False,Death by natural causes,http://dbpedia.org/resource/Death_by_natural_causes,Natural,
Huang Hua (politician),1913-01-25,1913-01-01T00:00:00+02:00,2010-11-24,,,['politician'],False,True,True,,,,
Hugh Burden,1913-04-03,1913-01-01T00:00:00+02:00,1985-05-17,{Actor|Playwright|Hugh_Burden__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Hugh_Burden__1},['actor'],True,False,False,,,,
Hugh Latimer (actor),1913-05-12,1913-01-01T00:00:00+02:00,2006-06-12,,,['actor'],True,False,False,,,,
Charles W. Jewett (Connecticut politician),1913-03-14,1913-01-01T00:00:00+02:00,2000-11-03,,,['politician'],False,True,True,,,,
Satyanarayan Singh (U.P. politician),1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,,Politician,http://dbpedia.org/resource/Politician,"['politician', 'sing']",False,True,True,,,,
Seán Moore (Irish politician),1913-05-19,1913-01-01T00:00:00+02:00,1986-10-01,,,['politician'],False,True,True,,,,
Abas Ermenji,1913-12-12,1913-01-01T00:00:00+02:00,2003-03-13,{Historian|Politician},{http://dbpedia.org/resource/Historian|http://dbpedia.org/resource/Politician},['politician'],False,True,True,,,,
Ady Berber,1913-02-04,1913-01-01T00:00:00+02:00,1966-01-03,{Actor|Ady_Berber__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ady_Berber__1},['actor'],True,False,False,,,,
Charles Drain (politician),1913-01-24,1913-01-01T00:00:00+02:00,1991-01-27,,,['politician'],False,True,True,,,,
Charles Maxwell,1913-12-28,1913-01-01T00:00:00+02:00,1993-08-07,{Actor|Charles_Maxwell__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Charles_Maxwell__1},['actor'],True,False,False,,,,
Wesley Addy,1913-08-04,1913-01-01T00:00:00+02:00,1996-12-31,{Actor|Wesley_Addy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Wesley_Addy__1},['actor'],True,False,False,,,,
William Christie (Ulster politician),1913-01-14,1913-01-01T00:00:00+02:00,2008-08-10,,,['politician'],False,True,True,,,,
William Lehman (Florida politician),1913-10-05,1913-01-01T00:00:00+02:00,2005-03-16,,,['politician'],False,True,True,,,,
William Prince (actor),1913-01-26,1913-01-01T00:00:00+02:00,1996-10-08,{Actor|William_Prince_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/William_Prince_(actor)__1},"['actor', 'prince']",True,False,False,,,,
William W. Knight (politician),1913-06-11,1913-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
William Wilson (Labour politician),1913-06-28,1913-01-01T00:00:00+02:00,2010-08-18,,,['politician'],False,True,True,,,,
John Murphy (contractor),1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,2009-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,
John Pickard (American actor),1913-06-25,1913-01-01T00:00:00+02:00,1993-08-04,{Actor|John_Pickard_(American_actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/John_Pickard_(American_actor)__1},['actor'],True,False,False,,,,
John Price (Danish actor),1913-09-15,1913-01-01T00:00:00+02:00,1996-12-10,{Actor|Film director|John_Price_(Danish_actor)__1|John_Price_(Danish_actor)__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/John_Price_(Danish_actor)__1|http://dbpedia.org/resource/John_Price_(Danish_actor)__2},['actor'],True,False,False,,,,
John Saul (actor),1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,1979-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,
Johnny Downs,1913-10-10,1913-01-01T00:00:00+02:00,1994-06-06,{Actor|Johnny_Downs__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Johnny_Downs__1},['actor'],True,False,False,,,,
Karl Erik Flens,1913-03-19,1913-01-01T00:00:00+02:00,1975-10-17,{Actor|Karl_Erik_Flens__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Karl_Erik_Flens__1},['actor'],True,False,False,,,,
Karl Stegger,1913-01-11,1913-01-01T00:00:00+02:00,1980-04-13,{Actor|Karl_Stegger__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Karl_Stegger__1},['actor'],True,False,False,,,,
Kay Linaker,1913-07-13,1913-01-01T00:00:00+02:00,2008-04-18,{Actor|Screenwriter|Kay_Linaker__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Kay_Linaker__1},['actor'],True,False,False,,,,
Kevin Dwyer (politician),1913-07-19,1913-01-01T00:00:00+02:00,1982-08-22,,,['politician'],False,True,True,,,,
Ivan Pereverzev,1914-09-03,1914-01-01T00:00:00+02:00,1978-04-23,{Actor|Ivan_Pereverzev__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ivan_Pereverzev__1},['actor'],True,False,False,,,,
Jørgen Beck,1914-12-13,1914-01-01T00:00:00+02:00,1991-10-05,{Actor|J%C3%B8rgen_Beck__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/J%C3%B8rgen_Beck__1},['actor'],True,False,False,,,,
Jack Davis (actor),1914-04-05,1914-01-01T00:00:00+02:00,1992-11-03,,,['actor'],True,False,False,,,,
Jack Fitzgerald (politician),1914-01-01T00:00:00+02:00,1914-01-01T00:00:00+02:00,1994-10-07,,,['politician'],False,True,True,,,,
Jack Little (politician),1914-10-13,1914-01-01T00:00:00+02:00,1988-11-25,,,['politician'],False,True,True,,,,
Jack Wilson Lydman,1914-01-01T00:00:00+02:00,1914-01-01T00:00:00+02:00,2005-01-01T00:00:00+02:00,{United States Foreign Service|Actor},{http://dbpedia.org/resource/United_States_Foreign_Service|http://dbpedia.org/resource/Actor},['actor'],True,False,False,,,,
Jacques Castelot,1914-07-11,1914-01-01T00:00:00+02:00,1989-08-25,{Actor|Jacques_Castelot__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jacques_Castelot__1},['actor'],True,False,False,,,,
Jacques Dufilho,1914-02-19,1914-01-01T00:00:00+02:00,2005-08-28,{Actor|Jacques_Dufilho__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jacques_Dufilho__1},['actor'],True,False,False,,,,
Thein Pe Myint,1914-07-10,1914-01-01T00:00:00+02:00,1978-01-15,{Journalist|Politician|Writer|Publishing},{http://dbpedia.org/resource/Journalist|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Publishing},['politician'],False,True,True,,,,
Tom Payne (director),1914-10-04,1914-01-01T00:00:00+02:00,1996-09-15,{Actor|Film director|Screenwriter|Tom_Payne_(director)__1|Tom_Payne_(director)__2|Tom_Payne_(director)__3},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Tom_Payne_(director)__1|http://dbpedia.org/resource/Tom_Payne_(director)__2|http://dbpedia.org/resource/Tom_Payne_(director)__3},['actor'],True,False,False,,,,
Lynne Carol,1914-06-29,1914-01-01T00:00:00+02:00,1990-06-30,{Actor|Lynne_Carol__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lynne_Carol__1},['actor'],True,False,False,,,,
Gordon Thomas (politician),1914-12-04,1914-01-01T00:00:00+02:00,1997-10-15,,,['politician'],False,True,True,,,,
Gunnar Bigum,1914-09-13,1914-01-01T00:00:00+02:00,1983-03-30,{Actor|Gunnar_Bigum__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gunnar_Bigum__1},['actor'],True,False,False,,,,
Fred Stenson (politician),1914-07-26,1914-01-01T00:00:00+02:00,1990-06-05,,,['politician'],False,True,True,,,,
Geoffrey Cox (Australian politician),1914-12-04,1914-01-01T00:00:00+02:00,1964-11-16,,,['politician'],False,True,True,,,,
Patrick Lindsay (politician),1914-01-18,1914-01-01T00:00:00+02:00,1993-06-29,,,['politician'],False,True,True,,,,
Peggy Thorpe-Bates,{1914-08-11|--08-11},1914-01-01T00:00:00+02:00,1989-12-26,{Actor|Peggy_Thorpe-Bates__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Peggy_Thorpe-Bates__1},['actor'],True,False,False,,,,
Deryck Guyler,1914-04-29,1914-01-01T00:00:00+02:00,1999-10-07,{Actor|Deryck_Guyler__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Deryck_Guyler__1},['actor'],True,False,False,,,,
Desmond Llewelyn,1914-09-12,1914-01-01T00:00:00+02:00,1999-12-19,{Actor|Desmond_Llewelyn__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Desmond_Llewelyn__1},['actor'],True,False,False,,,,
Dhumal (actor),1914-03-29,1914-01-01T00:00:00+02:00,1987-02-13,Dhumal_(actor)__1,http://dbpedia.org/resource/Dhumal_(actor)__1,['actor'],True,False,False,,,,
Don Haggerty,1914-07-03,1914-01-01T00:00:00+02:00,1988-08-19,{Actor|Don_Haggerty__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Don_Haggerty__1},['actor'],True,False,False,,,,
Dorothy Hyson,1914-12-24,1914-01-01T00:00:00+02:00,1996-05-23,{Actor|Dorothy_Hyson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dorothy_Hyson__1},['actor'],True,False,False,,,,
Douglas Muir (actor),1914-01-01T00:00:00+02:00,1914-01-01T00:00:00+02:00,1966-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,
Ronald Bell (British politician),1914-04-14,1914-01-01T00:00:00+02:00,1982-02-27,,,['politician'],False,True,True,,,,
Rose Hill (actress),1914-06-05,1914-01-01T00:00:00+02:00,2003-12-22,{Actor|Singing|Rose_Hill_(actress)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Rose_Hill_(actress)__1},"['actor', 'sing']",True,False,False,,,,
Roy R. Theriot,1914-06-26,1914-01-01T00:00:00+02:00,1973-04-19,{Lawyer|Politician},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician},['politician'],False,True,True,,,,
Michel Nastorg,{1914-01-01T00:00:00+02:00|1914-10-02},1914-01-01T00:00:00+02:00,{1984-01-01T00:00:00+02:00|1984-06-09},{Actor|Michel_Nastorg__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Michel_Nastorg__1},['actor'],True,False,False,,,,
Sejr Volmer-Sørensen,1914-02-07,1914-01-01T00:00:00+02:00,1982-05-11,{Lyricist|Television director|Actor|Presenter},{http://dbpedia.org/resource/Lyricist|http://dbpedia.org/resource/Television_director|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Presenter},['actor'],True,False,False,,,,
Shmuel Katz (politician),1914-12-09,1914-01-01T00:00:00+02:00,2008-05-09,,,['politician'],False,True,True,,,,
Silvio Bagolini,1914-08-04,1914-01-01T00:00:00+02:00,1976-01-01T00:00:00+02:00,{Actor|Silvio_Bagolini__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Silvio_Bagolini__1},['actor'],True,False,False,,,,
Hansi Knoteck,1914-03-02,1914-01-01T00:00:00+02:00,,{Actor|Hansi_Knoteck__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hansi_Knoteck__1},['actor'],True,False,False,,,,
Hector Ross,1914-02-11,1914-01-01T00:00:00+02:00,1980-11-26,{Actor|Hector_Ross__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hector_Ross__1},['actor'],True,False,False,,,,
Hedy Lamarr,1914-11-09,1914-01-01T00:00:00+02:00,2000-01-19,{Actor|Invention|Hedy_Lamarr__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Invention|http://dbpedia.org/resource/Hedy_Lamarr__1},['actor'],True,False,False,,,,
Heidi Kabel,1914-08-27,1914-01-01T00:00:00+02:00,2010-06-15,{Actor|Musician|Heidi_Kabel__1|Heidi_Kabel__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Heidi_Kabel__1|http://dbpedia.org/resource/Heidi_Kabel__2},"['actor', 'musician']",True,False,False,,,,
Larry Adler,1914-02-10,1914-01-01T00:00:00+02:00,{2001-08-06|2001-08-07},{Actor|Musician|Composer|Larry_Adler__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Composer|http://dbpedia.org/resource/Larry_Adler__1},"['actor', 'musician']",True,False,False,,,,
Larry Parks,1914-12-13,1914-01-01T00:00:00+02:00,1975-04-13,{Actor|Larry_Parks__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Larry_Parks__1},['actor'],True,False,False,,,,
Lee Dixon (actor),1914-01-22,1914-01-01T00:00:00+02:00,1953-01-08,Lee_Dixon_(actor)__1,http://dbpedia.org/resource/Lee_Dixon_(actor)__1,['actor'],True,False,False,,,,
James Cowan (Manitoba politician),1914-09-05,1914-01-01T00:00:00+02:00,1997-01-04,,,['politician'],False,True,True,,,,
James Mills (Manitoba politician),1914-06-22,1914-01-01T00:00:00+02:00,1997-02-15,,,['politician'],False,True,True,,,,
Douglas Watt (politician),1914-04-13,1914-01-01T00:00:00+02:00,1985-12-24,,,['politician'],False,True,True,,,,
Dudley Manlove,1914-06-11,1914-01-01T00:00:00+02:00,1996-04-17,{Actor|Announcer|Dudley_Manlove__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Announcer|http://dbpedia.org/resource/Dudley_Manlove__1},['actor'],True,False,False,,,,
Eamon Kelly (actor),1914-01-01T00:00:00+02:00,1914-01-01T00:00:00+02:00,2001-10-24,,,['actor'],True,False,False,,,,
Edward Evans (actor),1914-06-04,1914-01-01T00:00:00+02:00,2001-12-20,,,['actor'],True,False,False,,,,
Edward Sinclair,1914-02-03,1914-01-01T00:00:00+02:00,{1977-08-27|1977-08-29},{Actor|Edward_Sinclair__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Edward_Sinclair__1},['actor'],True,False,False,,,,
John Binns (politician),1914-01-01T00:00:00+02:00,1914-01-01T00:00:00+02:00,1986-08-06,,,['politician'],False,True,True,,,,
John Dickey (Canadian politician),1914-09-04,1914-01-01T00:00:00+02:00,1996-04-27,,,['politician'],False,True,True,,,,
John Hubbard (actor),1914-04-14,1914-01-01T00:00:00+02:00,1988-11-06,John_Hubbard_(actor)__1,http://dbpedia.org/resource/John_Hubbard_(actor)__1,['actor'],True,False,False,,,,
John Ireland (actor),1914-01-30,1914-01-01T00:00:00+02:00,1992-03-21,{Actor|John_Ireland_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/John_Ireland_(actor)__1},['actor'],True,False,False,,,,
John McMahon (Australian politician),1914-02-21,1914-01-01T00:00:00+02:00,1975-05-19,,,['politician'],False,True,True,,,,
Josh White,1914-02-11,1914-01-01T00:00:00+02:00,1969-09-05,{Actor|Singing|Songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter},"['actor', 'sing', 'songwriter']",True,False,False,,,,
Ave Ninchi,{1914-01-01T00:00:00+02:00|1915-12-14},{1914-01-01T00:00:00+02:00|1915-01-01T00:00:00+02:00},1997-11-10,{Actor|Ave_Ninchi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ave_Ninchi__1},['actor'],True,False,False,,,,
B. Reeves Eason Jr.,1914-11-19,1914-01-01T00:00:00+02:00,1921-10-25,{Actor|B._Reeves_Eason_Jr.__1},"{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/B._Reeves_Eason,_Jr.__1}",['actor'],True,False,False,,,,
Anil Biswas (composer),1914-07-07,1914-01-01T00:00:00+02:00,2003-05-31,{Actor|Composer|Playback singer|Anil_Biswas_(composer)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Composer|http://dbpedia.org/resource/Playback_singer|http://dbpedia.org/resource/Anil_Biswas_(composer)__1},"['actor', 'sing']",True,False,False,,,,
Anna Konstam,1914-02-22,1914-01-01T00:00:00+02:00,1982-01-01T00:00:00+02:00,{Actor|Anna_Konstam__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Anna_Konstam__1},['actor'],True,False,False,,,,
Anthony Fell (politician),1914-05-18,1914-01-01T00:00:00+02:00,1998-03-20,,,['politician'],False,True,True,,,,
Archie Campbell,1914-11-07,1914-01-01T00:00:00+02:00,1987-08-29,{Actor|Musician|Comedian},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Comedian},"['actor', 'musician']",True,False,False,,,,
Archie Duncan (actor),1914-05-26,1914-01-01T00:00:00+02:00,1979-07-24,,,['actor'],True,False,False,,,,
Arthur Holt (politician),1914-08-08,1914-01-01T00:00:00+02:00,1995-08-23,,,['politician'],False,True,True,,,,
Arthur Kennedy (actor),1914-02-17,1914-01-01T00:00:00+02:00,1990-01-05,{Actor|Arthur_Kennedy_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Arthur_Kennedy_(actor)__1},['actor'],True,False,False,,,,
Parley Baer,1914-08-05,1914-01-01T00:00:00+02:00,2002-11-22,{Actor|Parley_Baer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Parley_Baer__1},['actor'],True,False,False,Stroke,http://dbpedia.org/resource/Stroke,Disease,
