rdf-schema#label,birthDate,birthYear,occupation_label,occupation,Occupation_g,Actor,Politician,deathDate,title
Daniel Lloyd (actor and musician),1982-07-26,1982-01-01T00:00:00+02:00,{Actor|Singer-songwriter|Daniel_Lloyd_(actor_and_musician)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singer-songwriter|http://dbpedia.org/resource/Daniel_Lloyd_(actor_and_musician)__1},"['actor', 'musician', 'sing', 'songwriter']",True,False,,
Daniel Rigby,{1982-01-01T00:00:00+02:00|1982-12-06},1982-01-01T00:00:00+02:00,{Actor|Daniel_Rigby__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Daniel_Rigby__1},['actor'],True,False,,
Danny Lee Wynter,1982-05-25,1982-01-01T00:00:00+02:00,{Actor|Danny_Lee_Wynter__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Danny_Lee_Wynter__1},['actor'],True,False,,
Danny Lopes,1982-08-06,1982-01-01T00:00:00+02:00,{Actor|Model (profession)},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)},['actor'],True,False,,
Danny Tamberelli,1982-02-08,1982-01-01T00:00:00+02:00,{Actor|Musician|Comedian|Danny_Tamberelli__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Danny_Tamberelli__1},"['actor', 'musician']",True,False,,
David Dawson (actor),1982-09-07,1982-01-01T00:00:00+02:00,{Actor|David_Dawson_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/David_Dawson_(actor)__1},['actor'],True,False,,
George Hu,1982-07-24,1982-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
George O. Gore II,1982-12-15,1982-01-01T00:00:00+02:00,{Actor|George_O._Gore_II__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/George_O._Gore_II__1},['actor'],True,False,,
George Rainsford (actor),1982-07-31,1982-01-01T00:00:00+02:00,George_Rainsford_(actor)__1,http://dbpedia.org/resource/George_Rainsford_(actor)__1,['actor'],True,False,,
Giuseppe Soleri,1982-05-10,1982-01-01T00:00:00+02:00,{Actor|Film producer|Giuseppe_Soleri__1|Giuseppe_Soleri__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Giuseppe_Soleri__1|http://dbpedia.org/resource/Giuseppe_Soleri__2},['actor'],True,False,,
Moeko Matsushita,1982-12-19,1982-01-01T00:00:00+02:00,{Actor|Musician|Moeko_Matsushita__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Moeko_Matsushita__1},"['actor', 'musician']",True,False,,
Mohammed George,1982-01-01T00:00:00+02:00,1982-01-01T00:00:00+02:00,{Actor|Mohammed_George__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mohammed_George__1},['actor'],True,False,,
Mohit Raina,1982-08-14,1982-01-01T00:00:00+02:00,{Actor|Model (profession)|Mohit_Raina__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Mohit_Raina__1},['actor'],True,False,,
Monica Dogra,1982-10-25,1982-01-01T00:00:00+02:00,{Actor|Singing|Monica_Dogra__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Monica_Dogra__1},"['actor', 'sing']",True,False,,
Mostafa Zamani,1982-06-21,1982-01-01T00:00:00+02:00,{Actor|Mostafa_Zamani__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mostafa_Zamani__1},['actor'],True,False,,
Mr. Lucci,1982-11-15,1982-01-01T00:00:00+02:00,{Rapping|Actor},{http://dbpedia.org/resource/Rapping|http://dbpedia.org/resource/Actor},['actor'],True,False,,
Nadia Buari,1982-11-21,1982-01-01T00:00:00+02:00,{Actor|Nadia_Buari__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nadia_Buari__1},['actor'],True,False,,
Nadim Gemayel,1982-05-01,1982-01-01T00:00:00+02:00,{Politician|Nadim_Gemayel__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Nadim_Gemayel__1},['politician'],False,True,,{Achrafieh Kataeb District|Vice-President}
Nadja Benaissa,1982-04-26,1982-01-01T00:00:00+02:00,{Actor|Model (profession)|Singer-songwriter|Television presenter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Singer-songwriter|http://dbpedia.org/resource/Television_presenter},"['actor', 'sing', 'songwriter']",True,False,,
Naman Shaw,1982-12-18,1982-01-01T00:00:00+02:00,{Actor|Naman_Shaw__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Naman_Shaw__1},['actor'],True,False,,
Natalie Dormer,1982-02-11,1982-01-01T00:00:00+02:00,{Actor|Natalie_Dormer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Natalie_Dormer__1},['actor'],True,False,,
Natalie Garza,1982-10-13,1982-01-01T00:00:00+02:00,{Actor|Natalie_Garza__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Natalie_Garza__1},['actor'],True,False,,
Natasha Hudson,1982-09-09,1982-01-01T00:00:00+02:00,{Actor|Natasha_Hudson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Natasha_Hudson__1},['actor'],True,False,,
Benjamin Walker (actor),1982-06-21,1982-01-01T00:00:00+02:00,{Actor|Stand-up comedy|Benjamin_Walker_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Stand-up_comedy|http://dbpedia.org/resource/Benjamin_Walker_(actor)__1},['actor'],True,False,,
Bergüzar Korel,{1982-08-27|1982-09-02},1982-01-01T00:00:00+02:00,{Actor|Model (profession)|Berg%C3%BCzar_Korel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Berg%C3%BCzar_Korel__1},['actor'],True,False,,
Bianca Bai,1982-10-23,1982-01-01T00:00:00+02:00,{Actor|Model (profession)},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)},['actor'],True,False,,
Billy Crawford,1982-05-16,1982-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,,
Boom (entertainer),1982-05-10,1982-01-01T00:00:00+02:00,{Rapping|Actor|Presenter|Singing|Radio personality},{http://dbpedia.org/resource/Rapping|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Radio_personality},"['actor', 'sing']",True,False,,
Bradley Pierce,1982-10-23,1982-01-01T00:00:00+02:00,{Actor|Voice acting|Bradley_Pierce__1|Bradley_Pierce__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Bradley_Pierce__1|http://dbpedia.org/resource/Bradley_Pierce__2},['actor'],True,False,,
Brandi Williams,1982-10-05,1982-01-01T00:00:00+02:00,{Actor|Singing|Songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Brianne Davis,1982-04-21,1982-01-01T00:00:00+02:00,{Actor|Brianne_Davis__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Brianne_Davis__1},['actor'],True,False,,
Bronagh Waugh,1982-10-06,1982-01-01T00:00:00+02:00,{Actor|Bronagh_Waugh__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Bronagh_Waugh__1},['actor'],True,False,,
Bruno Gagliasso,1982-04-13,1982-01-01T00:00:00+02:00,{Actor|Bruno_Gagliasso__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Bruno_Gagliasso__1},['actor'],True,False,,
Buğra Gülsoy,1982-02-22,1982-01-01T00:00:00+02:00,{Actor|Model (profession)|Bu%C4%9Fra_G%C3%BClsoy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Bu%C4%9Fra_G%C3%BClsoy__1},['actor'],True,False,,
Cécile Cassel,1982-06-25,1982-01-01T00:00:00+02:00,{Actor|Singing|C%C3%A9cile_Cassel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/C%C3%A9cile_Cassel__1},"['actor', 'sing']",True,False,,
C. J. Thomason,1982-12-06,1982-01-01T00:00:00+02:00,{Actor|C._J._Thomason__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/C._J._Thomason__1},['actor'],True,False,,
Vanessa Fernandez,1982-10-17,1982-01-01T00:00:00+02:00,{Disc jockey|Actor|Singing|Songwriter},{http://dbpedia.org/resource/Disc_jockey|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Vera Brezhneva,1982-02-03,1982-01-01T00:00:00+02:00,{Actor|Presenter|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Vincent van Ommen,1982-06-14,1982-01-01T00:00:00+02:00,{Actor|Vincent_van_Ommen__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Vincent_van_Ommen__1},['actor'],True,False,,
Walter Perez (actor),1982-07-12,1982-01-01T00:00:00+02:00,Walter_Perez_(actor)__1,http://dbpedia.org/resource/Walter_Perez_(actor)__1,['actor'],True,False,,
Jeff D'Agostino,1982-09-05,1982-01-01T00:00:00+02:00,{Actor|Musician},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician},"['actor', 'musician']",True,False,,
Jeff Leach (politician),1982-06-10,1982-01-01T00:00:00+02:00,{Politician|Attorneys in the United States},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Attorneys_in_the_United_States},['politician'],False,True,,
Jeffrey Walker (actor),1982-07-10,1982-01-01T00:00:00+02:00,{Jeffrey_Walker_(actor)__1|Jeffrey_Walker_(actor)__2},{http://dbpedia.org/resource/Jeffrey_Walker_(actor)__1|http://dbpedia.org/resource/Jeffrey_Walker_(actor)__2},['actor'],True,False,,
Jeremy Williams (actor),1982-11-11,1982-01-01T00:00:00+02:00,Jeremy_Williams_(actor)__1,http://dbpedia.org/resource/Jeremy_Williams_(actor)__1,['actor'],True,False,,
Jesse Johnson (actor),1982-12-07,1982-01-01T00:00:00+02:00,{Actor|Jesse_Johnson_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jesse_Johnson_(actor)__1},['actor'],True,False,,
Jewel Staite,1982-06-02,1982-01-01T00:00:00+02:00,{Actor|Jewel_Staite__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jewel_Staite__1},['actor'],True,False,,
Jithan Ramesh,1982-10-23,1982-01-01T00:00:00+02:00,{Actor|Film producer|Jithan_Ramesh__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Jithan_Ramesh__1},['actor'],True,False,,
Jo An,1982-11-14,1982-01-01T00:00:00+02:00,{Actor|Jo_An__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jo_An__1},['actor'],True,False,,
Jo Eun-byul,1982-06-23,1982-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Joanna Christie,1982-04-10,1982-01-01T00:00:00+02:00,{Actor|Joanna_Christie__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Joanna_Christie__1},['actor'],True,False,,
Joby Harte,1982-01-30,1982-01-01T00:00:00+02:00,{Actor|Television presenter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Television_presenter},['actor'],True,False,,
Alinne Moraes,1982-12-22,1982-01-01T00:00:00+02:00,{Actor|Alinne_Moraes__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Alinne_Moraes__1},['actor'],True,False,,
Alison Brie,1982-12-29,1982-01-01T00:00:00+02:00,{Actor|Alison_Brie__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Alison_Brie__1},['actor'],True,False,,
Alison Smyth,1982-10-07,1982-01-01T00:00:00+02:00,{Actor|Singing|Alison_Smyth__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Alison_Smyth__1},"['actor', 'sing']",True,False,,
Allu Arjun,{1982-04-08|1983-01-01T00:00:00+02:00},{1982-01-01T00:00:00+02:00|1983-01-01T00:00:00+02:00},{Dance|Actor|Model (profession)|Singing|Allu_Arjun__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Allu_Arjun__1},"['actor', 'sing']",True,False,,
Amber Lee Ettinger,{1982-10-02|1983-10-02},{1982-01-01T00:00:00+02:00|1983-01-01T00:00:00+02:00},{Actor|Model (profession)|Internet celebrity|Amber_Lee_Ettinger__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Internet_celebrity|http://dbpedia.org/resource/Amber_Lee_Ettinger__1},['actor'],True,False,,
Ami Suzuki,{1982-02-02|1982-02-09},1982-01-01T00:00:00+02:00,{Disc jockey|Actor|Singing|Songwriter},{http://dbpedia.org/resource/Disc_jockey|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Ami Trivedi,1982-07-15,1982-01-01T00:00:00+02:00,{Actor|Voice acting|Ami_Trivedi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Ami_Trivedi__1},['actor'],True,False,,
Amy Walker,1982-09-01,1982-01-01T00:00:00+02:00,{Actor|Singing|Amy_Walker__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Amy_Walker__1},"['actor', 'sing']",True,False,,
Ana Layevska,1982-01-10,1982-01-01T00:00:00+02:00,{Actor|Singing|Ana_Layevska__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Ana_Layevska__1},"['actor', 'sing']",True,False,,
Anahí,{1982-05-14|1983-05-14},1982-01-01T00:00:00+02:00,{Actor|Singer-songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Ananda Everingham,1982-05-31,1982-01-01T00:00:00+02:00,{Actor|Ananda_Everingham__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ananda_Everingham__1},['actor'],True,False,,
Lee Min-jung,1982-02-16,1982-01-01T00:00:00+02:00,{Actor|Lee_Min-jung__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lee_Min-jung__1},['actor'],True,False,,
Lee Si-eon,1982-07-03,1982-01-01T00:00:00+02:00,{Actor|Lee_Si-eon__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lee_Si-eon__1},['actor'],True,False,,
Lee Si-young,1982-04-17,1982-01-01T00:00:00+02:00,{Actor|Amateur boxing|Lee_Si-young__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Amateur_boxing|http://dbpedia.org/resource/Lee_Si-young__1},['actor'],True,False,,
Lee So-yeon (actress),1982-04-16,1982-01-01T00:00:00+02:00,{Actor|Lee_So-yeon_(actress)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lee_So-yeon_(actress)__1},['actor'],True,False,,
Lee Soo-kyung,1982-03-13,1982-01-01T00:00:00+02:00,{Actor|Lee_Soo-kyung__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lee_Soo-kyung__1},['actor'],True,False,,
Lee Yoo-ri,1982-01-28,1982-01-01T00:00:00+02:00,{Actor|Lee_Yoo-ri__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lee_Yoo-ri__1},['actor'],True,False,,
Lee Young-eun,1982-08-09,1982-01-01T00:00:00+02:00,{Actor|Lee_Young-eun__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lee_Young-eun__1},['actor'],True,False,,
Lesya Orobets,1982-05-03,1982-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,,
Li Xiaolu,1982-09-30,1982-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,,
Lil Zane,1982-07-11,1982-01-01T00:00:00+02:00,{Rapping|Actor},{http://dbpedia.org/resource/Rapping|http://dbpedia.org/resource/Actor},['actor'],True,False,,
Linh Nga,{1982-01-01T00:00:00+02:00|1982-01-03},1982-01-01T00:00:00+02:00,{Actor|Film director|Screenwriter|News presenter|Linh_Nga__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/News_presenter|http://dbpedia.org/resource/Linh_Nga__1},['actor'],True,False,,
Lissa Vera,1982-01-31,1982-01-01T00:00:00+02:00,{Actor|Singer-songwriter|Composer},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singer-songwriter|http://dbpedia.org/resource/Composer},"['actor', 'sing', 'songwriter']",True,False,,
Lloyd Zaragoza,1982-11-02,1982-01-01T00:00:00+02:00,{Actor|Lloyd_Zaragoza__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lloyd_Zaragoza__1},['actor'],True,False,,
Lorie (singer),1982-05-02,1982-01-01T00:00:00+02:00,{Actor|Record producer|Singing|Songwriter|Composer},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Record_producer|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter|http://dbpedia.org/resource/Composer},"['actor', 'sing', 'songwriter']",True,False,,
Fahadh Faasil,{1982-08-08|1983-08-08},{1982-01-01T00:00:00+02:00|1983-01-01T00:00:00+02:00},{Actor|Fahadh_Faasil__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fahadh_Faasil__1},['actor'],True,False,,
Fouad Hajji,1982-12-08,1982-01-01T00:00:00+02:00,{Actor|Fouad_Hajji__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fouad_Hajji__1},['actor'],True,False,,
Martin Starr,1982-07-30,1982-01-01T00:00:00+02:00,{Actor|Martin_Starr__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Martin_Starr__1},['actor'],True,False,,
Matt Cohen (actor),1982-09-28,1982-01-01T00:00:00+02:00,{Actor|Matt_Cohen_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Matt_Cohen_(actor)__1},['actor'],True,False,,
Matt Littler,1982-03-19,1982-01-01T00:00:00+02:00,{Actor|Film director|Matt_Littler__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Matt_Littler__1},['actor'],True,False,,
Matt Smith (actor),1982-10-28,1982-01-01T00:00:00+02:00,{Actor|Film director|Matt_Smith_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Matt_Smith_(actor)__1},['actor'],True,False,,
Maud Forget,1982-05-07,1982-01-01T00:00:00+02:00,{Actor|Maud_Forget__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Maud_Forget__1},['actor'],True,False,,
Max Rhyser,1982-07-11,1982-01-01T00:00:00+02:00,{Actor|Max_Rhyser__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Max_Rhyser__1},['actor'],True,False,,
Maxim Shchyogolev,1982-04-20,1982-01-01T00:00:00+02:00,{Actor|Maxim_Shchyogolev__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Maxim_Shchyogolev__1},['actor'],True,False,,
Maya Khan,1982-12-08,1982-01-01T00:00:00+02:00,{Actor|Model (profession)|Presenter|Maya_Khan__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Maya_Khan__1},['actor'],True,False,,
Mayana Moura,1982-08-29,1982-01-01T00:00:00+02:00,{Actor|Mayana_Moura__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mayana_Moura__1},['actor'],True,False,,
Maybelyn dela Cruz,1982-12-20,1982-01-01T00:00:00+02:00,{Actor|Maybelyn_dela_Cruz__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Maybelyn_dela_Cruz__1},['actor'],True,False,,
Megumi Kagurazaka,1982-09-28,1982-01-01T00:00:00+02:00,{Actor|Model (profession)|Megumi_Kagurazaka__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Megumi_Kagurazaka__1},['actor'],True,False,,
Meiyang Chаng,1982-10-06,1982-01-01T00:00:00+02:00,{Anchor|Dentist|Actor|Singing|Meiyang_Ch%D0%B0ng__1},{http://dbpedia.org/resource/Anchor|http://dbpedia.org/resource/Dentist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Meiyang_Ch%D0%B0ng__1},"['actor', 'sing']",True,False,,
Mel Lisboa,1982-01-17,1982-01-01T00:00:00+02:00,{Actor|Mel_Lisboa__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mel_Lisboa__1},['actor'],True,False,,
Menna Shalabi,1982-07-24,1982-01-01T00:00:00+02:00,{Actor|Menna_Shalabi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Menna_Shalabi__1},['actor'],True,False,,
Meryem Uzerli,{1982-08-12|1983-08-12},{1982-01-01T00:00:00+02:00|1983-01-01T00:00:00+02:00},{Actor|Meryem_Uzerli__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Meryem_Uzerli__1},['actor'],True,False,,
Meryll Soriano,1982-12-09,1982-01-01T00:00:00+02:00,{Actor|Television program|Meryll_Soriano__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Television_program|http://dbpedia.org/resource/Meryll_Soriano__1},['actor'],True,False,,
Nauheed Cyrusi,1982-10-19,1982-01-01T00:00:00+02:00,{Actor|Nauheed_Cyrusi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nauheed_Cyrusi__1},['actor'],True,False,,
Nausheen Sardar Ali,1982-06-29,1982-01-01T00:00:00+02:00,{Actor|Model (profession)|Television presenter|Nausheen_Sardar_Ali__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Television_presenter|http://dbpedia.org/resource/Nausheen_Sardar_Ali__1},['actor'],True,False,,
Nazneen Contractor,1982-08-26,1982-01-01T00:00:00+02:00,{Actor|Nazneen_Contractor__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nazneen_Contractor__1},['actor'],True,False,,
Neil Linpow,1982-12-02,1982-01-01T00:00:00+02:00,{Actor|Neil_Linpow__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Neil_Linpow__1},['actor'],True,False,,
Nellie McKay,1982-04-13,1982-01-01T00:00:00+02:00,{Actor|Singer-songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Niña Dolino,1982-10-26,1982-01-01T00:00:00+02:00,{Actor|Ni%C3%B1a_Dolino__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ni%C3%B1a_Dolino__1},['actor'],True,False,,
Nicholas Audsley,1982-02-06,1982-01-01T00:00:00+02:00,{Actor|Nicholas_Audsley__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nicholas_Audsley__1},['actor'],True,False,,
Nicholas Shaw,1982-01-01T00:00:00+02:00,1982-01-01T00:00:00+02:00,{Actor|Nicholas_Shaw__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nicholas_Shaw__1},['actor'],True,False,,
Nicolás D'Agostino,1982-11-24,1982-01-01T00:00:00+02:00,{Actor|Nicol%C3%A1s_D'Agostino__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nicol%C3%A1s_D'Agostino__1},['actor'],True,False,,
Nicole Arbour,{1982-06-26|1985-06-26},{1982-01-01T00:00:00+02:00|1985-01-01T00:00:00+02:00},{Actor|Writer|Nicole_Arbour__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Nicole_Arbour__1},['actor'],True,False,,
Hidenori Tokuyama,1982-01-30,1982-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Himmanshoo A. Malhotra,1982-04-02,1982-01-01T00:00:00+02:00,{Actor|Himmanshoo_A._Malhotra__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Himmanshoo_A._Malhotra__1},['actor'],True,False,,
Hwanhee,1982-01-17,1982-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Ian Blackwood,1982-08-12,1982-01-01T00:00:00+02:00,{Actor|Musician},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician},"['actor', 'musician']",True,False,,
Ian Nelson (actor born 1982),1982-09-05,1982-01-01T00:00:00+02:00,Ian_Nelson_(actor_born_1982)__1,http://dbpedia.org/resource/Ian_Nelson_(actor_born_1982)__1,['actor'],True,False,,
Iman Crosson,1982-03-27,1982-01-01T00:00:00+02:00,{Impressionist (entertainment)|Actor},{http://dbpedia.org/resource/Impressionist_(entertainment)|http://dbpedia.org/resource/Actor},['actor'],True,False,,
Chelan Simmons,1982-10-29,1982-01-01T00:00:00+02:00,{Actor|Chelan_Simmons__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Chelan_Simmons__1},['actor'],True,False,,
Chetan Hansraj,1982-06-15,1982-01-01T00:00:00+02:00,{Actor|Chetan_Hansraj__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Chetan_Hansraj__1},['actor'],True,False,,
Chiké Okonkwo,1982-03-18,1982-01-01T00:00:00+02:00,{Actor|Chik%C3%A9_Okonkwo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Chik%C3%A9_Okonkwo__1},['actor'],True,False,,
Chloe Sims (TV personality),{1982-05-12|1982-11-03},1982-01-01T00:00:00+02:00,{Actor|Model (profession)|Entrepreneurship|Chloe_Sims_(TV_personality)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Entrepreneurship|http://dbpedia.org/resource/Chloe_Sims_(TV_personality)__1},['actor'],True,False,,
Christopher Jones (actor born 1982),1982-02-04,1982-01-01T00:00:00+02:00,Christopher_Jones_(actor_born_1982)__1,http://dbpedia.org/resource/Christopher_Jones_(actor_born_1982)__1,['actor'],True,False,,
Chynna Ortaleza,{1982-12-06|1982-12-07},1982-01-01T00:00:00+02:00,{Actor|Chynna_Ortaleza__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Chynna_Ortaleza__1},['actor'],True,False,,
