rdf-schema#label,birthDate,birthYear,Occupation_g,Actor,Politician,Athlete,Business_person,Cause_of_Death_cat,deathDate,occupation_label,occupation,title,deathCause_label,deathCause,salary
Hal Le Roy,1913-12-10,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1985-11-02,{Dance|Actor|Hal_Le_Roy__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hal_Le_Roy__1},,,,
Willy Schäfer (handballer),1913-04-30,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1980-10-16,,,,,,
Winston and Weston Doty,1913-02-18,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1934-01-01,{Actor|Winston_and_Weston_Doty__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Winston_and_Weston_Doty__1},,,,
Yoshi Katō,1913-01-12,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1988-03-01,{Actor|Yoshi_Kat%C5%8D__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Yoshi_Kat%C5%8D__1},,,,
Franz Balluck,1913-09-08,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1987-01-24,,,,,,
Fred Agnich,1913-07-19,1913-01-01T00:00:00+02:00,['business person'],False,False,False,True,Unknown,2004-10-28,{Business|Geophysics},{http://dbpedia.org/resource/Business|http://dbpedia.org/resource/Geophysics},,,,
Fred Davis (snooker player),1913-08-14,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1998-04-16,,,,,,
Fred Larson (politician),1913-11-24,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1969-01-01T00:00:00+02:00,,,,,,
Fritz Losigkeit,1913-11-17,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1994-01-14,Politician,http://dbpedia.org/resource/Politician,,,,
Paul Bryan,1913-08-03,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,2004-10-11,Politician,http://dbpedia.org/resource/Politician,,,,
Paul Winkler (footballer),1913-08-22,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1996-01-01T00:00:00+02:00,,,,,,
Peaches Jackson,1913-10-09,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2002-02-23,{Actor|Peaches_Jackson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Peaches_Jackson__1},,,,
Peggy Lloyd,1913-08-14,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2011-08-30,{Television director|Actor|Peggy_Lloyd__1},{http://dbpedia.org/resource/Television_director|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Peggy_Lloyd__1},,,,
Peter Coke,1913-04-03,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2008-07-30,{Artist|Actor|Playwright|Peter_Coke__1},{http://dbpedia.org/resource/Artist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Peter_Coke__1},,,,
Peter Cushing,1913-05-26,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Cancer,1994-08-11,{Actor|Peter_Cushing__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Peter_Cushing__1},,Prostate cancer,http://dbpedia.org/resource/Prostate_cancer,
Peter Doherty (footballer),1913-06-05,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1990-04-06,,,,,,
Peter Glenville,1913-10-28,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1996-06-03,{Actor|Theatre director|Peter_Glenville__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Theatre_director|http://dbpedia.org/resource/Peter_Glenville__1},,,,
Dick Walker (footballer),1913-07-22,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1988-01-01T00:00:00+02:00,,,,,,
Domenico Meccoli,1913-01-04,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1983-11-21,{Actor|Screenwriter|Domenico_Meccoli__1|Domenico_Meccoli__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Domenico_Meccoli__1|http://dbpedia.org/resource/Domenico_Meccoli__2},,,,
Dorothy Wellman,1913-11-25,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2009-09-16,{Dance|Actor|Dorothy_Wellman__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dorothy_Wellman__1},,,,
Doug Henderson (footballer),1913-03-06,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2002-01-01T00:00:00+02:00,,,,,,
Roger Dean (Australian politician),1913-12-12,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1998-01-07,,,,,,
Ron Stone (footballer),1913-04-08,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2006-09-04,,,,,,
Ronald Moore (Manitoba politician),1913-12-22,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,2003-01-01T00:00:00+02:00,,,,,,
Rosamund John,1913-10-19,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1998-10-27,{Actor|Rosamund_John__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Rosamund_John__1},,,,
Rose Stradner,1913-07-31,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1958-09-27,Actor,http://dbpedia.org/resource/Actor,,,,
Roy Engel,1913-09-13,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1980-09-29,{Actor|Roy_Engel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Roy_Engel__1},,Meningitis,http://dbpedia.org/resource/Meningitis,
Roy Evans (footballer),1913-11-10,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Rudolf Wanderone,1913-01-19,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1996-01-15,{Pool (cue sports)|Rudolf_Wanderone__1},{http://dbpedia.org/resource/Pool_(cue_sports)|http://dbpedia.org/resource/Rudolf_Wanderone__1},,,,
Rufus D. Hayes,1913-05-15,1913-01-01T00:00:00+02:00,['business person'],False,False,False,True,Unknown,2002-02-12,{Lawyer|Businessperson},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Businessperson},,,,
Russ Conway (actor),1913-04-25,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2009-01-12,Russ_Conway_(actor)__1,http://dbpedia.org/resource/Russ_Conway_(actor)__1,,,,
Russell Allen (cyclist),1913-03-10,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Ruth Kettlewell,1913-04-13,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2007-07-17,{Actor|Ruth_Kettlewell__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ruth_Kettlewell__1},,,,
Michael Golden (actor),1913-08-15,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1983-01-01T00:00:00+02:00,{Actor|Michael_Golden_(actor)__1|Michael_Golden_(actor)__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Michael_Golden_(actor)__1|http://dbpedia.org/resource/Michael_Golden_(actor)__2},,,,
Michael Ripper,1913-01-27,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2000-06-28,{Actor|Michael_Ripper__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Michael_Ripper__1},,,,
Tommy Green (footballer born 1913),1913-05-12,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1997-02-05,,,,,,
Tommy Heath (baseball),1913-08-13,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1967-02-26,,,,,,
Tommy Rowe (footballer born 1913),1913-08-13,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2006-05-09,,,,,,
Tommy Ward (footballer born 1913),1913-04-18,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Tony Bond (footballer born 1913),1913-12-23,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1991-07-06,,,,,,
Trevor Howard,1913-09-29,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1988-01-07,{Actor|Trevor_Howard__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Trevor_Howard__1},,,,
Seiji Miyaguchi,1913-11-15,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1985-04-12,{Actor|Seiji_Miyaguchi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Seiji_Miyaguchi__1},,,,
Simon Lack,1913-12-19,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1980-08-08,{Actor|Simon_Lack__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Simon_Lack__1},,,,
Sofía Álvarez,1913-05-23,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1985-04-30,{Actor|Sof%C3%ADa_%C3%81lvarez__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sof%C3%ADa_%C3%81lvarez__1},,,,
Sonja Wigert,1913-11-11,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1980-04-12,{Actor|Sonja_Wigert__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sonja_Wigert__1},,,,
Stanley Stephens (Australian politician),1913-02-13,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1986-03-23,,,,,,
Stephen Barrett (Irish politician),1913-12-26,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1976-09-08,,,,,,
Steve Plytas,1913-01-09,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1994-01-01T00:00:00+02:00,{Actor|Steve_Plytas__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Steve_Plytas__1},,,,
Harold Dean (Australian politician),1913-02-20,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1997-02-28,,,,,,
Harry Baird (footballer),1913-08-17,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1973-05-27,,,,,,
Harry Johnson (footballer born 1913),1913-08-08,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1976-01-01T00:00:00+02:00,,,,,,
Harry Williamson (athlete),1913-07-11,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2000-04-08,,,,,,
Henry Gilbert (actor),1913-04-04,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1973-01-29,{Actor|Henry_Gilbert_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Henry_Gilbert_(actor)__1},,,,
Henry Rowland (actor),{1913-09-24|1913-12-28},1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1984-04-26,,,,,,
Herb Jeffries,1913-09-24,1913-01-01T00:00:00+02:00,"['actor', 'sing']",True,False,False,False,Unknown,,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},,,,
Kurt Kasznar,1913-08-12,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1979-08-06,{Actor|Kurt_Kasznar__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kurt_Kasznar__1},,,,
Lambros Konstantaras,1913-03-13,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1985-06-28,{Actor|Lambros_Konstantaras__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lambros_Konstantaras__1},,,,
Marc Platt (dancer),1913-12-02,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2014-03-29,{Ballet|Marc_Platt_(dancer)__1},{http://dbpedia.org/resource/Ballet|http://dbpedia.org/resource/Marc_Platt_(dancer)__1},,,,
Marika Rökk,1913-11-03,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2004-05-16,{Actor|Marika_R%C3%B6kk__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Marika_R%C3%B6kk__1},,,,
Marjorie Weaver,1913-03-02,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1994-10-01,{Actor|Marjorie_Weaver__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Marjorie_Weaver__1},,,,
James Ripley (Canadian politician),1913-12-28,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,2002-02-01,,,,,,
James Warren (actor),1913-02-24,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2001-03-28,,,,,,
Duke Moore,1913-07-15,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1976-11-16,{Actor|Duke_Moore__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Duke_Moore__1},,,,
Ed Smith (American football),1913-06-17,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1998-01-29,,,,,,
Eddie Dawson (footballer),1913-01-16,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1970-01-01T00:00:00+02:00,,,,,,
Eddie Morgan (rugby player),1913-12-18,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1978-04-16,,,,,,
Eddie Smith (baseball),1913-12-14,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1994-01-02,,,,,,
Edward Alcock (footballer),{1913-01-01T00:00:00+02:00|1913-09-07},1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1981-01-01T00:00:00+02:00,,,,,,
Edward Brown (British politician),1913-04-15,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1991-08-27,,,,,,
Egon Franke (politician),1913-04-11,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1995-04-26,,,,,,
Johan Kraag,{1913-05-12|1913-07-29},1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1996-05-24,Politician,http://dbpedia.org/resource/Politician,,,,
Johan Støa (politician),1913-02-20,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1973-09-24,,,,,,
John Brennan (American football),1913-09-28,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1982-01-01T00:00:00+02:00,,,,,,
John E. Davis (North Dakota politician),1913-04-18,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1990-05-12,,,,,,
John Facenda,1913-08-08,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1984-09-26,{Disc jockey|News presenter|Presenter|Radio personality|Sports commentator|John_Facenda__1},{http://dbpedia.org/resource/Disc_jockey|http://dbpedia.org/resource/News_presenter|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Radio_personality|http://dbpedia.org/resource/Sports_commentator|http://dbpedia.org/resource/John_Facenda__1},,,,
John Grandy,1913-02-08,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,2004-01-02,{Governor of Gibraltar|Constables and Governors of Windsor Castle},{http://dbpedia.org/resource/Governor_of_Gibraltar|http://dbpedia.org/resource/Constables_and_Governors_of_Windsor_Castle},,,,
John Hindmarsh (footballer),1913-01-29,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1990-01-01T00:00:00+02:00,,,,,,
John Howard (American actor),1913-04-14,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1995-02-19,,,,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,
John MacLeod (politician),1913-02-23,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1984-06-03,,,,,,
John Marriott (Australian politician),1913-02-16,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1994-04-13,,,,,,
Kalervo Nissilä,{1913-06-11|1913-07-11},1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1997-03-30,{Actor|Kalervo_Nissil%C3%A4__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kalervo_Nissil%C3%A4__1},,,,
Kan Yuet-keung,1913-07-26,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,{2012-01-01T00:00:00+02:00|2012-09-14},{Politician|Solicitor|Bank},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Solicitor|http://dbpedia.org/resource/Bank},,,,
Arthur Richardson (footballer),1913-01-15,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1993-01-01T00:00:00+02:00,,,,,,
Arthur Watson (footballer born 1913),1913-07-12,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1995-01-01T00:00:00+02:00,,,,,,
Azat Sherents,1913-04-05,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1993-12-25,{Actor|Azat_Sherents__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Azat_Sherents__1},,,,
Balakrishna (Kannada actor),1913-11-02,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1995-07-19,Balakrishna_(Kannada_actor)__1,http://dbpedia.org/resource/Balakrishna_(Kannada_actor)__1,,,,
Balraj Sahni,1913-05-01,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1973-04-13,{Actor|Writer|Balraj_Sahni__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Balraj_Sahni__1},,,,
Anthony Dexter,1913-01-19,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Stroke,2001-03-27,{Actor|Anthony_Dexter__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Anthony_Dexter__1},,Stroke,http://dbpedia.org/resource/Stroke,
Antoinette Cellier,1913-06-23,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1981-01-18,{Actor|Antoinette_Cellier__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Antoinette_Cellier__1},,,,
Araceli Gilbert,1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1993-01-01T00:00:00+02:00,,,,,,
Archibald Jack (pentathlete),1913-07-21,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1997-01-13,,,,,,
Arthur Caldwell (English footballer),1913-02-24,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1989-07-26,,,,,,
Arthur Cotton (politician),1913-01-23,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1920-12-06,,,,,,
Arthur Griffith (Australian politician),1913-04-22,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1982-11-17,,,,,,
Omer Vanaudenhove,1913-12-03,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1994-11-26,{Politician|Omer_Vanaudenhove__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Omer_Vanaudenhove__1},,,,
Racey Helps,1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1970-01-01T00:00:00+02:00,Children's literature,http://dbpedia.org/resource/Children's_literature,,,,
Ray Peterson (American football),1913-06-27,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1999-06-14,,,,,,
Ray Quinn (footballer),1913-12-24,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1973-02-03,,,,,,
Ray Shaw (association footballer),1913-05-18,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1980-01-01T00:00:00+02:00,,,,,,
Reginald Moss (UK politician),1913-12-05,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1995-05-28,,,,,,
Peter Ward (athlete),1913-02-07,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2009-01-13,,,,,,
Alan Hunter (athlete),1913-11-16,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2002-04-25,,,,,,
Albert Bel Fay,{1913-01-01T00:00:00+02:00|1913-02-26},1913-01-01T00:00:00+02:00,['business person'],False,False,False,True,Unknown,{1992-01-01T00:00:00+02:00|1992-02-29},Business,http://dbpedia.org/resource/Business,,,,
Alberto Talegalli,1913-10-02,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1961-07-17,{Actor|Alberto_Talegalli__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Alberto_Talegalli__1},,,,
Aldo Tatangelo,1913-09-16,1913-01-01T00:00:00+02:00,['business person'],False,False,False,True,Unknown,2008-03-07,{Business|Philanthropy},{http://dbpedia.org/resource/Business|http://dbpedia.org/resource/Philanthropy},,,,
Aleksander Bardini,1913-11-17,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1995-07-30,{Actor|Aleksander_Bardini__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Aleksander_Bardini__1},,,,
Alex Scott (footballer born 1913),1913-10-29,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1962-01-01T00:00:00+02:00,,,,,,
Richard Fraser (actor),1913-03-15,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1972-01-01T00:00:00+02:00,{Actor|Richard_Fraser_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Richard_Fraser_(actor)__1},,,,
Richard Fuller (footballer),1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Richard Reader Harris (politician),1913-06-04,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,2009-07-07,,,,,,
Richard Simmons (actor),1913-08-19,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2003-01-11,Richard_Simmons_(actor)__1,http://dbpedia.org/resource/Richard_Simmons_(actor)__1,,,,
Richard Smart (actor),1913-05-21,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1992-07-04,Richard_Smart_(actor)__1,http://dbpedia.org/resource/Richard_Smart_(actor)__1,,,,
Richard Travis (actor),1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1989-01-01T00:00:00+02:00,,,,,,
Roald Amundsen (footballer),1913-09-18,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1985-03-29,,,,,,
Robert Bernard (footballer),1913-03-10,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1990-02-17,,,,,,
Robert Christie (actor),1913-09-20,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1996-05-22,Robert_Christie_(actor)__1,http://dbpedia.org/resource/Robert_Christie_(actor)__1,,,,
Robert Lowery (actor),1913-10-17,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1971-12-26,{Actor|Robert_Lowery_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Robert_Lowery_(actor)__1},,,,
Robert Meyers (politician),1913-12-23,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,2007-03-26,,,,,,
Robert Strauss (actor),1913-11-08,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1975-02-20,{Actor|Robert_Strauss_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Robert_Strauss_(actor)__1},,,,
Sverre Hansen (footballer),1913-06-23,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1974-08-22,,,,,,
Ted Ellis (footballer),1913-02-23,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2007-08-05,,,,,,
Eve Lister,1913-12-12,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1997-01-31,{Actor|Eve_Lister__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eve_Lister__1},,,,
George Blackburn (American football),1913-10-14,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2006-05-15,,,,,,
George Cummings (footballer),1913-06-05,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1987-01-01T00:00:00+02:00,,,,,,
George G. Siebels Jr.,{1913-01-01T00:00:00+02:00|1913-07-16},1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,{2000-01-01T00:00:00+02:00|2000-03-28},{Insurance|American football},{http://dbpedia.org/resource/Insurance|http://dbpedia.org/resource/American_football},,,,
George Laking (footballer),1913-03-17,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,{1997-01-01T00:00:00+02:00|1997-06-01},,,,,,
George Lewis (footballer),1913-10-20,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1981-08-06,,,,,,
George Shaw (Australian politician),1913-07-28,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1966-01-09,,,,,,
Gig Young,1913-11-04,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1978-10-19,{Actor|Gig_Young__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gig_Young__1},,,,
Monty Brown (footballer),1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1976-12-31,,,,,,
Morton Cohen (politician),1913-09-19,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1968-01-14,,,,,,
Myrtle Devenish,1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,2007-01-21,{Actor|Myrtle_Devenish__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Myrtle_Devenish__1},,,,
Bill Armstrong (footballer),1913-07-03,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1995-01-01T00:00:00+02:00,,,,,,
Bill Cox (baseball),1913-06-23,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1988-02-16,,,,,,
Bill Moore (footballer born 1913),1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1982-01-01T00:00:00+02:00,,,,,,
Bill Morris (footballer),1913-03-26,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1995-01-01T00:00:00+02:00,,,,,,
Bill Thompson (voice actor),1913-07-08,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1971-07-15,,,,Septic shock,http://dbpedia.org/resource/Septic_shock,
Bill Young (New Zealand politician),1913-11-13,1913-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,2009-07-14,,,,,,
Billy Myers (Gaelic footballer),1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1965-01-01T00:00:00+02:00,,,,,,
Bob Bailey (actor),1913-06-13,1913-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1983-08-13,{Film|Radio|Bob_Bailey_(actor)__1},{http://dbpedia.org/resource/Film|http://dbpedia.org/resource/Radio|http://dbpedia.org/resource/Bob_Bailey_(actor)__1},,,,
Bob Breitenstein (American football coach),1913-07-24,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2002-03-28,,,,,,
Bob Clark (athlete),1913-01-28,1913-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1976-05-13,,,,,,
