rdf-schema#label,birthDate,birthYear,deathDate,occupation_label,occupation,Occupation_g,Actor,Politician,title
Stephanie Bachelor,1912-05-23,1912-01-01T00:00:00+02:00,1996-11-22,{Actor|Stephanie_Bachelor__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Stephanie_Bachelor__1},['actor'],True,False,
Haruo Tanaka,1912-03-05,1912-01-01T00:00:00+02:00,1992-02-21,{Actor|Haruo_Tanaka__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Haruo_Tanaka__1},['actor'],True,False,
Hendrik Koekoek,1912-05-22,1912-01-01T00:00:00+02:00,1987-02-08,{Farmer|Politician},{http://dbpedia.org/resource/Farmer|http://dbpedia.org/resource/Politician},['politician'],False,True,
Henry Brandon (actor),1912-06-08,1912-01-01T00:00:00+02:00,1990-02-15,Henry_Brandon_(actor)__1,http://dbpedia.org/resource/Henry_Brandon_(actor)__1,['actor'],True,False,
Kristina Söderbaum,1912-09-05,1912-01-01T00:00:00+02:00,2001-02-12,{Actor|Kristina_S%C3%B6derbaum__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kristina_S%C3%B6derbaum__1},['actor'],True,False,
Mario C. Lugones,1912-08-13,1912-01-01T00:00:00+02:00,1970-10-01,{Actor|Mario_C._Lugones__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mario_C._Lugones__1},['actor'],True,False,
Mario Riva,1912-01-26,1912-01-01T00:00:00+02:00,1960-09-01,{Actor|Mario_Riva__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mario_Riva__1},['actor'],True,False,
Marta Eggerth,1912-04-17,1912-01-01T00:00:00+02:00,2013-12-26,{Actor|Marta_Eggerth__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Marta_Eggerth__1},['actor'],True,False,
James Craig (actor),{1912-02-01|1912-02-04},1912-01-01T00:00:00+02:00,1985-06-28,{Actor|James_Craig_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/James_Craig_(actor)__1},['actor'],True,False,
Janet Fox,1912-06-12,1912-01-01T00:00:00+02:00,2002-04-22,{Actor|Janet_Fox__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Janet_Fox__1},['actor'],True,False,
Ed Reimers,1912-10-26,1912-01-01T00:00:00+02:00,2009-08-16,{Actor|Ed_Reimers__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ed_Reimers__1},['actor'],True,False,
Edgardo Enríquez,1912-02-09,1912-01-01T00:00:00+02:00,1996-11-01,{Physician|Politician|Academia|Officer (armed forces)},{http://dbpedia.org/resource/Physician|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Academia|http://dbpedia.org/resource/Officer_(armed_forces)},['politician'],False,True,
John Bailey (actor),1912-06-26,1912-01-01T00:00:00+02:00,1989-02-18,{Actor|John_Bailey_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/John_Bailey_(actor)__1},['actor'],True,False,
John Boylan (American actor),1912-01-31,1912-01-01T00:00:00+02:00,1994-11-16,{Actor|John_Boylan_(American_actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/John_Boylan_(American_actor)__1},['actor'],True,False,
June Havoc,1912-11-08,1912-01-01T00:00:00+02:00,2010-03-28,{Dance|Actor|Writer|June_Havoc__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/June_Havoc__1},['actor'],True,False,
Kamal Mitra,1912-12-09,1912-01-01T00:00:00+02:00,1993-08-02,{Actor|Kamal_Mitra__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kamal_Mitra__1},['actor'],True,False,
Asmahan,{1912-11-25|1917-11-25},1917-01-01T00:00:00+02:00,1944-07-14,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,
Barbara Sheldon,1912-11-24,1912-01-01T00:00:00+02:00,2007-10-19,{Actor|Barbara_Sheldon__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Barbara_Sheldon__1},['actor'],True,False,
Barry Sullivan (actor),1912-08-29,1912-01-01T00:00:00+02:00,1994-06-06,Barry_Sullivan_(actor)__1,http://dbpedia.org/resource/Barry_Sullivan_(actor)__1,['actor'],True,False,
Basil Langton,1912-01-09,1912-01-01T00:00:00+02:00,2003-05-29,{Actor|Basil_Langton__1|Basil_Langton__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Basil_Langton__1|http://dbpedia.org/resource/Basil_Langton__2},['actor'],True,False,
Rafael Picó Santana,1912-01-01T00:00:00+02:00,1912-01-01T00:00:00+02:00,1998-01-01T00:00:00+02:00,{Politician|Senate},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Senate},['politician'],False,True,
Ricardo Brillantes,1912-01-01T00:00:00+02:00,1912-01-01T00:00:00+02:00,1961-01-01T00:00:00+02:00,{Actor|Film director|Ricardo_Brillantes__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Ricardo_Brillantes__1},['actor'],True,False,
Alan Handley,1912-03-11,1912-01-01T00:00:00+02:00,1990-01-05,{Television director|Television producer|Actor|Alan_Handley__1},{http://dbpedia.org/resource/Television_director|http://dbpedia.org/resource/Television_producer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Alan_Handley__1},['actor'],True,False,
Alberto Tavazzi,1912-03-25,1912-01-01T00:00:00+02:00,2006-04-22,{Art director|Actor|Painting|Alberto_Tavazzi__1|Alberto_Tavazzi__2|Alberto_Tavazzi__3},{http://dbpedia.org/resource/Art_director|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Painting|http://dbpedia.org/resource/Alberto_Tavazzi__1|http://dbpedia.org/resource/Alberto_Tavazzi__2|http://dbpedia.org/resource/Alberto_Tavazzi__3},['actor'],True,False,
Richard Carlson (actor),1912-04-29,1912-01-01T00:00:00+02:00,{1977-11-21|1977-11-25},Richard_Carlson_(actor)__1,http://dbpedia.org/resource/Richard_Carlson_(actor)__1,['actor'],True,False,
Richard Wattis,1912-02-25,1912-01-01T00:00:00+02:00,1975-02-01,{Actor|Richard_Wattis__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Richard_Wattis__1},['actor'],True,False,
Robert Berri,1912-12-16,1912-01-01T00:00:00+02:00,1989-11-22,{Actor|Robert_Berri__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Robert_Berri__1},['actor'],True,False,
Roberto Murolo,1912-01-19,1912-01-01T00:00:00+02:00,2003-03-13,{Guitarist|Actor|Singing|Songwriter|Roberto_Murolo__1|Roberto_Murolo__2|Roberto_Murolo__3|Roberto_Murolo__4},{http://dbpedia.org/resource/Guitarist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter|http://dbpedia.org/resource/Roberto_Murolo__1|http://dbpedia.org/resource/Roberto_Murolo__2|http://dbpedia.org/resource/Roberto_Murolo__3|http://dbpedia.org/resource/Roberto_Murolo__4},"['actor', 'sing', 'songwriter']",True,False,
Sture Ericson,1912-09-27,1912-01-01T00:00:00+02:00,1979-03-15,{Actor|Sture_Ericson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sture_Ericson__1},['actor'],True,False,
Tawi Sli,1912-06-12,1912-01-01T00:00:00+02:00,1987-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,
George Cisar (actor),1912-07-28,1912-01-01T00:00:00+02:00,1979-06-13,George_Cisar_(actor)__1,http://dbpedia.org/resource/George_Cisar_(actor)__1,['actor'],True,False,
George Webb (actor),1912-03-06,1912-01-01T00:00:00+02:00,1998-12-30,George_Webb_(actor)__1,http://dbpedia.org/resource/George_Webb_(actor)__1,['actor'],True,False,
Gerald Cross,1912-02-20,1912-01-01T00:00:00+02:00,1981-02-26,{Actor|Gerald_Cross__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gerald_Cross__1},['actor'],True,False,
Narciso Ibáñez Menta,1912-08-25,1912-01-01T00:00:00+02:00,2004-05-15,{Actor|Narciso_Ib%C3%A1%C3%B1ez_Menta__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Narciso_Ib%C3%A1%C3%B1ez_Menta__1},['actor'],True,False,
Bernard Lancret,1912-09-04,1912-01-01T00:00:00+02:00,1983-09-05,{Actor|Bernard_Lancret__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Bernard_Lancret__1},['actor'],True,False,
Berry Kroeger,1912-10-16,1912-01-01T00:00:00+02:00,1991-01-04,{Actor|Berry_Kroeger__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Berry_Kroeger__1},['actor'],True,False,
Beth Marion,1912-07-12,1912-01-01T00:00:00+02:00,2003-02-18,{Actor|Beth_Marion__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Beth_Marion__1},['actor'],True,False,
Bruce Lester,1912-06-06,1912-01-01T00:00:00+02:00,2008-06-13,{Actor|Bruce_Lester__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Bruce_Lester__1},['actor'],True,False,
Victoria Vinton,1912-08-23,1912-01-01T00:00:00+02:00,1980-06-12,{Actor|Victoria_Vinton__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Victoria_Vinton__1},['actor'],True,False,
W. Willard Wirtz,1912-03-14,1912-01-01T00:00:00+02:00,2010-04-24,{Lawyer|Politician|Civil service|Professor},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Civil_service|http://dbpedia.org/resource/Professor},['politician'],False,True,
Jean-Pierre Kérien,1912-03-15,1912-01-01T00:00:00+02:00,1984-04-09,{Actor|Jean-Pierre_K%C3%A9rien__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jean-Pierre_K%C3%A9rien__1},['actor'],True,False,
Jeff York,1912-03-23,1912-01-01T00:00:00+02:00,1995-10-11,{Actor|Jeff_York__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jeff_York__1},['actor'],True,False,
Jiřina Štěpničková,1912-04-03,1912-01-01T00:00:00+02:00,1985-09-05,{Actor|Ji%C5%99ina_%C5%A0t%C4%9Bpni%C4%8Dkov%C3%A1__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ji%C5%99ina_%C5%A0t%C4%9Bpni%C4%8Dkov%C3%A1__1},['actor'],True,False,
Amácio Mazzaropi,1912-04-09,1912-01-01T00:00:00+02:00,1981-06-13,{Actor|Am%C3%A1cio_Mazzaropi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Am%C3%A1cio_Mazzaropi__1},['actor'],True,False,
Ambrosine Phillpotts,1912-09-13,1912-01-01T00:00:00+02:00,1980-10-12,{Actor|Ambrosine_Phillpotts__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ambrosine_Phillpotts__1},['actor'],True,False,
André Laurendeau,1912-03-21,1912-01-01T00:00:00+02:00,1968-06-01,{Journalist|Playwright|Politician|Andr%C3%A9_Laurendeau__1},{http://dbpedia.org/resource/Journalist|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Andr%C3%A9_Laurendeau__1},['politician'],False,True,
Foster Brooks,1912-05-11,1912-01-01T00:00:00+02:00,2001-12-20,{Actor|Comedian|Foster_Brooks__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Foster_Brooks__1},['actor'],True,False,
Francis De Sales (actor),1912-03-23,1912-01-01T00:00:00+02:00,1988-09-25,{Actor|Francis_De_Sales_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Francis_De_Sales_(actor)__1},['actor'],True,False,
Maurice Dallimore,1912-06-23,1912-01-01T00:00:00+02:00,1973-02-20,{Actor|Maurice_Dallimore__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Maurice_Dallimore__1},['actor'],True,False,
Max Croiset,1912-08-13,1912-01-01T00:00:00+02:00,1993-04-07,{Actor|Max_Croiset__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Max_Croiset__1},['actor'],True,False,
Nick Cravat,1912-01-11,1912-01-01T00:00:00+02:00,1994-01-29,{Stunt performer|Actor|Nick_Cravat__1},{http://dbpedia.org/resource/Stunt_performer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nick_Cravat__1},['actor'],True,False,
Nikolai Gritsenko,1912-07-24,1912-01-01T00:00:00+02:00,1979-12-08,{Actor|Nikolai_Gritsenko__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nikolai_Gritsenko__1},['actor'],True,False,
Nina Mae McKinney,1912-06-13,1912-01-01T00:00:00+02:00,1967-05-03,{Actor|Nina_Mae_McKinney__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nina_Mae_McKinney__1},['actor'],True,False,
Sathyan (actor),1912-11-09,1912-01-01T00:00:00+02:00,1971-06-15,{Clerk|Actor|Soldier|Teacher|Inspector|Sathyan_(actor)__1},{http://dbpedia.org/resource/Clerk|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Soldier|http://dbpedia.org/resource/Teacher|http://dbpedia.org/resource/Inspector|http://dbpedia.org/resource/Sathyan_(actor)__1},['actor'],True,False,
Aileen Marson,1912-09-13,1912-01-01T00:00:00+02:00,1939-05-04,{Actor|Aileen_Marson__1|Aileen_Marson__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Aileen_Marson__1|http://dbpedia.org/resource/Aileen_Marson__2},['actor'],True,False,
Carl Raddatz,1912-03-13,1912-01-01T00:00:00+02:00,2004-05-19,{Actor|Carl_Raddatz__1|Carl_Raddatz__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Carl_Raddatz__1|http://dbpedia.org/resource/Carl_Raddatz__2},['actor'],True,False,
Willard Parker,1912-02-05,1912-01-01T00:00:00+02:00,1996-12-04,{Actor|Willard_Parker__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Willard_Parker__1},['actor'],True,False,
William Mervyn,1912-01-03,1912-01-01T00:00:00+02:00,1976-08-06,{Actor|William_Mervyn__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/William_Mervyn__1},['actor'],True,False,
Colin Douglas (actor),1912-07-28,1912-01-01T00:00:00+02:00,1991-12-21,{Actor|Colin_Douglas_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Colin_Douglas_(actor)__1},['actor'],True,False,
Coy Watson Jr.,1912-11-16,1912-01-01T00:00:00+02:00,2009-03-14,{Child actor|Coy_Watson_Jr.__1},"{http://dbpedia.org/resource/Child_actor|http://dbpedia.org/resource/Coy_Watson,_Jr.__1}",['actor'],True,False,
John Payne (actor),1912-05-23,1912-01-01T00:00:00+02:00,1989-12-06,John_Payne_(actor)__1,http://dbpedia.org/resource/John_Payne_(actor)__1,['actor'],True,False,
Joly Garbi,1912-01-01T00:00:00+02:00,{1912-01-01T00:00:00+02:00|1913-01-01T00:00:00+02:00},2002-01-01T00:00:00+02:00,{Actor|Joly_Garbi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Joly_Garbi__1},['actor'],True,False,
Jon Lennart Mjøen,1912-10-22,1912-01-01T00:00:00+02:00,1997-01-03,{Actor|Film director|Screenwriter|Jon_Lennart_Mj%C3%B8en__1|Jon_Lennart_Mj%C3%B8en__2|Jon_Lennart_Mj%C3%B8en__3},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Jon_Lennart_Mj%C3%B8en__1|http://dbpedia.org/resource/Jon_Lennart_Mj%C3%B8en__2|http://dbpedia.org/resource/Jon_Lennart_Mj%C3%B8en__3},['actor'],True,False,
Karl Malden,1912-03-22,1912-01-01T00:00:00+02:00,2009-07-01,{Actor|Karl_Malden__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Karl_Malden__1},['actor'],True,False,
Kenneth A. Roberts,1912-11-01,1912-01-01T00:00:00+02:00,1989-05-09,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,
Kim Il-sung,1912-04-15,1912-01-01T00:00:00+02:00,1994-07-08,Eternal President of the Republic,http://dbpedia.org/resource/Eternal_President_of_the_Republic,['president'],False,True,
Jack Woolgar,1913-09-15,1913-01-01T00:00:00+02:00,1978-07-14,{Actor|Jack_Woolgar__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jack_Woolgar__1},['actor'],True,False,
Else von Möllendorff,1913-12-29,1913-01-01T00:00:00+02:00,1982-07-28,{Actor|Else_von_M%C3%B6llendorff__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Else_von_M%C3%B6llendorff__1},['actor'],True,False,
Ettore Cella,1913-09-12,1913-01-01T00:00:00+02:00,2004-07-01,{Actor|Film director|Ettore_Cella__1|Ettore_Cella__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Ettore_Cella__1|http://dbpedia.org/resource/Ettore_Cella__2},['actor'],True,False,
Louis Nye,1913-05-01,1913-01-01T00:00:00+02:00,2005-10-09,{Actor|Louis_Nye__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Louis_Nye__1},['actor'],True,False,
Louise Currie,1913-04-07,1913-01-01T00:00:00+02:00,2013-09-08,{Actor|Louise_Currie__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Louise_Currie__1},['actor'],True,False,
Lucille Lund,1913-06-03,1913-01-01T00:00:00+02:00,2002-02-15,{Actor|Lucille_Lund__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lucille_Lund__1},['actor'],True,False,
Luis Prendes,1913-08-22,1913-01-01T00:00:00+02:00,1998-10-27,{Actor|Luis_Prendes__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Luis_Prendes__1},['actor'],True,False,
Haila Stoddard,1913-11-14,1913-01-01T00:00:00+02:00,2011-02-21,{Actor|Writer|Haila_Stoddard__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Haila_Stoddard__1},['actor'],True,False,
Hal Le Roy,1913-12-10,1913-01-01T00:00:00+02:00,1985-11-02,{Dance|Actor|Hal_Le_Roy__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hal_Le_Roy__1},['actor'],True,False,
Winston and Weston Doty,1913-02-18,1913-01-01T00:00:00+02:00,1934-01-01,{Actor|Winston_and_Weston_Doty__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Winston_and_Weston_Doty__1},['actor'],True,False,
Yoshi Katō,1913-01-12,1913-01-01T00:00:00+02:00,1988-03-01,{Actor|Yoshi_Kat%C5%8D__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Yoshi_Kat%C5%8D__1},['actor'],True,False,
Fritz Losigkeit,1913-11-17,1913-01-01T00:00:00+02:00,1994-01-14,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,
Paul Bryan,1913-08-03,1913-01-01T00:00:00+02:00,2004-10-11,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,
Peaches Jackson,1913-10-09,1913-01-01T00:00:00+02:00,2002-02-23,{Actor|Peaches_Jackson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Peaches_Jackson__1},['actor'],True,False,
Peggy Lloyd,1913-08-14,1913-01-01T00:00:00+02:00,2011-08-30,{Television director|Actor|Peggy_Lloyd__1},{http://dbpedia.org/resource/Television_director|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Peggy_Lloyd__1},['actor'],True,False,
Peter Coke,1913-04-03,1913-01-01T00:00:00+02:00,2008-07-30,{Artist|Actor|Playwright|Peter_Coke__1},{http://dbpedia.org/resource/Artist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Peter_Coke__1},['actor'],True,False,
Peter Cushing,1913-05-26,1913-01-01T00:00:00+02:00,1994-08-11,{Actor|Peter_Cushing__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Peter_Cushing__1},['actor'],True,False,
Peter Glenville,1913-10-28,1913-01-01T00:00:00+02:00,1996-06-03,{Actor|Theatre director|Peter_Glenville__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Theatre_director|http://dbpedia.org/resource/Peter_Glenville__1},['actor'],True,False,
Domenico Meccoli,1913-01-04,1913-01-01T00:00:00+02:00,1983-11-21,{Actor|Screenwriter|Domenico_Meccoli__1|Domenico_Meccoli__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Domenico_Meccoli__1|http://dbpedia.org/resource/Domenico_Meccoli__2},['actor'],True,False,
Dorothy Wellman,1913-11-25,1913-01-01T00:00:00+02:00,2009-09-16,{Dance|Actor|Dorothy_Wellman__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dorothy_Wellman__1},['actor'],True,False,
Rosamund John,1913-10-19,1913-01-01T00:00:00+02:00,1998-10-27,{Actor|Rosamund_John__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Rosamund_John__1},['actor'],True,False,
Rose Stradner,1913-07-31,1913-01-01T00:00:00+02:00,1958-09-27,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,
Roy Engel,1913-09-13,1913-01-01T00:00:00+02:00,1980-09-29,{Actor|Roy_Engel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Roy_Engel__1},['actor'],True,False,
Russ Conway (actor),1913-04-25,1913-01-01T00:00:00+02:00,2009-01-12,Russ_Conway_(actor)__1,http://dbpedia.org/resource/Russ_Conway_(actor)__1,['actor'],True,False,
Ruth Kettlewell,1913-04-13,1913-01-01T00:00:00+02:00,2007-07-17,{Actor|Ruth_Kettlewell__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ruth_Kettlewell__1},['actor'],True,False,
Michael Golden (actor),1913-08-15,1913-01-01T00:00:00+02:00,1983-01-01T00:00:00+02:00,{Actor|Michael_Golden_(actor)__1|Michael_Golden_(actor)__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Michael_Golden_(actor)__1|http://dbpedia.org/resource/Michael_Golden_(actor)__2},['actor'],True,False,
Michael Ripper,1913-01-27,1913-01-01T00:00:00+02:00,2000-06-28,{Actor|Michael_Ripper__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Michael_Ripper__1},['actor'],True,False,
Trevor Howard,1913-09-29,1913-01-01T00:00:00+02:00,1988-01-07,{Actor|Trevor_Howard__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Trevor_Howard__1},['actor'],True,False,
Seiji Miyaguchi,1913-11-15,1913-01-01T00:00:00+02:00,1985-04-12,{Actor|Seiji_Miyaguchi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Seiji_Miyaguchi__1},['actor'],True,False,
Simon Lack,1913-12-19,1913-01-01T00:00:00+02:00,1980-08-08,{Actor|Simon_Lack__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Simon_Lack__1},['actor'],True,False,
Sofía Álvarez,1913-05-23,1913-01-01T00:00:00+02:00,1985-04-30,{Actor|Sof%C3%ADa_%C3%81lvarez__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sof%C3%ADa_%C3%81lvarez__1},['actor'],True,False,
Sonja Wigert,1913-11-11,1913-01-01T00:00:00+02:00,1980-04-12,{Actor|Sonja_Wigert__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sonja_Wigert__1},['actor'],True,False,
Steve Plytas,1913-01-09,1913-01-01T00:00:00+02:00,1994-01-01T00:00:00+02:00,{Actor|Steve_Plytas__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Steve_Plytas__1},['actor'],True,False,
Henry Gilbert (actor),1913-04-04,1913-01-01T00:00:00+02:00,1973-01-29,{Actor|Henry_Gilbert_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Henry_Gilbert_(actor)__1},['actor'],True,False,
Herb Jeffries,1913-09-24,1913-01-01T00:00:00+02:00,,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,
Kurt Kasznar,1913-08-12,1913-01-01T00:00:00+02:00,1979-08-06,{Actor|Kurt_Kasznar__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kurt_Kasznar__1},['actor'],True,False,
Lambros Konstantaras,1913-03-13,1913-01-01T00:00:00+02:00,1985-06-28,{Actor|Lambros_Konstantaras__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lambros_Konstantaras__1},['actor'],True,False,
Marika Rökk,1913-11-03,1913-01-01T00:00:00+02:00,2004-05-16,{Actor|Marika_R%C3%B6kk__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Marika_R%C3%B6kk__1},['actor'],True,False,
Marjorie Weaver,1913-03-02,1913-01-01T00:00:00+02:00,1994-10-01,{Actor|Marjorie_Weaver__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Marjorie_Weaver__1},['actor'],True,False,
Duke Moore,1913-07-15,1913-01-01T00:00:00+02:00,1976-11-16,{Actor|Duke_Moore__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Duke_Moore__1},['actor'],True,False,
Eiji Toyoda,1913-09-12,1913-01-01T00:00:00+02:00,2013-09-17,{President|Toyota|Chairman|Eiji_Toyoda__1|Eiji_Toyoda__2},{http://dbpedia.org/resource/President|http://dbpedia.org/resource/Toyota|http://dbpedia.org/resource/Chairman|http://dbpedia.org/resource/Eiji_Toyoda__1|http://dbpedia.org/resource/Eiji_Toyoda__2},['president'],False,True,
Johan Kraag,{1913-05-12|1913-07-29},1913-01-01T00:00:00+02:00,1996-05-24,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,
John Marcum,1913-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,1981-01-01T00:00:00+02:00,John_Marcum__1,http://dbpedia.org/resource/John_Marcum__1,['president'],False,True,President
Kalervo Nissilä,{1913-06-11|1913-07-11},1913-01-01T00:00:00+02:00,1997-03-30,{Actor|Kalervo_Nissil%C3%A4__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kalervo_Nissil%C3%A4__1},['actor'],True,False,
Kan Yuet-keung,1913-07-26,1913-01-01T00:00:00+02:00,{2012-01-01T00:00:00+02:00|2012-09-14},{Politician|Solicitor|Bank},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Solicitor|http://dbpedia.org/resource/Bank},['politician'],False,True,
Azat Sherents,1913-04-05,1913-01-01T00:00:00+02:00,1993-12-25,{Actor|Azat_Sherents__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Azat_Sherents__1},['actor'],True,False,
Balakrishna (Kannada actor),1913-11-02,1913-01-01T00:00:00+02:00,1995-07-19,Balakrishna_(Kannada_actor)__1,http://dbpedia.org/resource/Balakrishna_(Kannada_actor)__1,['actor'],True,False,
Balraj Sahni,1913-05-01,1913-01-01T00:00:00+02:00,1973-04-13,{Actor|Writer|Balraj_Sahni__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Balraj_Sahni__1},['actor'],True,False,
