rdf-schema#label,birthDate,birthYear,occupation_label,occupation,Occupation_g,Actor,Politician,Athlete,deathDate,deathCause_label,deathCause,Cause_of_Death_cat,title
Henry Bellingham (politician),1955-03-29,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Kochu Preman,{1955-01-01T00:00:00+02:00|1955-06-01},1955-01-01T00:00:00+02:00,{Actor|Kochu_Preman__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kochu_Preman__1},['actor'],True,False,False,,,,,
Kuh Ledesma,1955-03-16,1955-01-01T00:00:00+02:00,{Actor|Model (profession)|Singing|Fashion design|Kuh_Ledesma__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Fashion_design|http://dbpedia.org/resource/Kuh_Ledesma__1},"['actor', 'sing']",True,False,False,,,,,
Kyūsaku Shimada,1955-04-24,1955-01-01T00:00:00+02:00,{Actor|Ky%C5%ABsaku_Shimada__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ky%C5%ABsaku_Shimada__1},['actor'],True,False,False,,,,,
Kyle Jones (politician),1955-01-01T00:00:00+02:00,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Lakshman Singh (politician),1955-01-14,1955-01-01T00:00:00+02:00,,,"['politician', 'sing']",False,True,False,,,,,
Larry Ahern (politician),1955-04-26,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Larry Hall (North Carolina politician),1955-09-18,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Lawrence Kestenbaum,1955-09-13,1955-01-01T00:00:00+02:00,{Politician|Lawrence_Kestenbaum__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Lawrence_Kestenbaum__1},['politician'],False,True,False,,,,,Washtenaw County Clerk/Register of Deeds
Leann Hunley,1955-02-25,1955-01-01T00:00:00+02:00,{Actor|Leann_Hunley__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Leann_Hunley__1},['actor'],True,False,False,,,,,
Marc Bureau (politician),1955-08-11,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Maria Kiwanuka,1955-05-12,1955-01-01T00:00:00+02:00,{Economist|Politician|Businessperson|Maria_Kiwanuka__1},{http://dbpedia.org/resource/Economist|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Businessperson|http://dbpedia.org/resource/Maria_Kiwanuka__1},['politician'],False,True,False,1955-05-12,,,,Uganda Minister of Finance
Maria Mori,{1955-06-29|1956-01-01T00:00:00+02:00},1956-01-01T00:00:00+02:00,{Actor|Singer-songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'sing', 'songwriter']",True,False,False,,,,,
Marina Sirtis,1955-03-29,1955-01-01T00:00:00+02:00,{Actor|Marina_Sirtis__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Marina_Sirtis__1},['actor'],True,False,False,,,,,
Mark Boone Junior,1955-03-17,1955-01-01T00:00:00+02:00,{Actor|Mark_Boone_Junior__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mark_Boone_Junior__1},['actor'],True,False,False,,,,,
Mark Brandenburg (politician),{1955-01-01T00:00:00+02:00|1955-01-20},1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Mark Hartigan (pentathlete),1955-11-10,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Mark Norris (U.S. politician),1955-07-09,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
James Bush (Florida politician),1955-02-13,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
James Gaines,1955-05-18,1955-01-01T00:00:00+02:00,{_Director|James_Gaines__1},{http://dbpedia.org/resource/Film_actor_/_Writer_/_Director|http://dbpedia.org/resource/James_Gaines__1},['actor'],True,False,False,,,,,
James Reilly (Irish politician),1955-08-16,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Jan Bednarek (politician),1955-08-10,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Jan Hrušínský,1955-06-09,1955-01-01T00:00:00+02:00,{Actor|Jan_Hru%C5%A1%C3%ADnsk%C3%BD__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jan_Hru%C5%A1%C3%ADnsk%C3%BD__1},['actor'],True,False,False,,,,,
Jane Kaczmarek,1955-12-21,1955-01-01T00:00:00+02:00,{Actor|Jane_Kaczmarek__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jane_Kaczmarek__1},['actor'],True,False,False,,,,,
Jane Roberts (politician),1955-01-01T00:00:00+02:00,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Jane Stewart (politician),1955-04-25,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Janet Ellis,1955-09-16,1955-01-01T00:00:00+02:00,{Actor|Television presenter|Janet_Ellis__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Television_presenter|http://dbpedia.org/resource/Janet_Ellis__1},['actor'],True,False,False,,,,,
Duncan Bell (actor),1955-01-16,1955-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
E. E. Bell,1955-12-27,1955-01-01T00:00:00+02:00,{Actor|E._E._Bell__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/E._E._Bell__1},['actor'],True,False,False,,,,,
Eberhard van der Laan,1955-06-28,1955-01-01T00:00:00+02:00,{Board of directors|Lawyer|Politician},{http://dbpedia.org/resource/Board_of_directors|http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician},['politician'],False,True,False,,,,,
Ed Murray (Washington politician),1955-05-02,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Edu Manzano,1955-09-14,1955-01-01T00:00:00+02:00,{Actor|Comedian|Television presenter|Edu_Manzano__3},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Television_presenter|http://dbpedia.org/resource/Edu_Manzano__3},['actor'],True,False,False,,,,,
Edward Hibbert,1955-09-09,1955-01-01T00:00:00+02:00,{Actor|Literary agent|Edward_Hibbert__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Literary_agent|http://dbpedia.org/resource/Edward_Hibbert__1},['actor'],True,False,False,,,,,
Joe Preston (politician),1955-06-14,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Johan Vande Lanotte,1955-07-06,1955-01-01T00:00:00+02:00,{Politician|Professor},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Professor},['politician'],False,True,False,,,,,
John Barrow (U.S. politician),1955-10-31,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
John Day (Australian politician),1955-12-24,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
John Eden (athlete),1955-10-27,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
John Howell (politician),1955-07-27,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
John J. Taylor (politician),1955-04-09,1955-01-01T00:00:00+02:00,Lawyer,http://dbpedia.org/resource/Lawyer,['politician'],False,True,False,,,,,
John Kaye (politician),1955-10-23,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Julie Brown (athlete),1955-02-05,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Jun Kunimura,1955-11-16,1955-01-01T00:00:00+02:00,{Actor|Jun_Kunimura__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jun_Kunimura__1},['actor'],True,False,False,,,,,
Kaki Hunter,1955-11-06,1955-01-01T00:00:00+02:00,{Architect|Actor|Writer|Kaki_Hunter__1},{http://dbpedia.org/resource/Architect|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Kaki_Hunter__1},['actor'],True,False,False,,,,,
Karen Cheryl,1955-07-19,1955-01-01T00:00:00+02:00,{Actor|Singing|Radio personality|Television presenter|Karen_Cheryl__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Radio_personality|http://dbpedia.org/resource/Television_presenter|http://dbpedia.org/resource/Karen_Cheryl__1},"['actor', 'sing']",True,False,False,,,,,
Augustine (actor),1955-07-30,1955-01-01T00:00:00+02:00,{Actor|Augustine_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Augustine_(actor)__1},['actor'],True,False,False,2013-11-14,,,,
Avtandil Beridze,1955-01-11,,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Badri Patarkatsishvili,1955-10-31,1955-01-01T00:00:00+02:00,{Imedi Media Holding|Politician|Business oligarch|Badri_Patarkatsishvili__1},{http://dbpedia.org/resource/Imedi_Media_Holding|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Business_oligarch|http://dbpedia.org/resource/Badri_Patarkatsishvili__1},['politician'],False,True,False,2008-02-12,,,,
Anne Carlisle,1955-01-01T00:00:00+02:00,1955-01-01T00:00:00+02:00,{Artist|Actor|Writer|Anne_Carlisle__1},{http://dbpedia.org/resource/Artist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Anne_Carlisle__1},['actor'],True,False,False,,,,,
Annie Hulley,1955-10-23,1955-01-01T00:00:00+02:00,{Actor|Annie_Hulley__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Annie_Hulley__1},['actor'],True,False,False,,,,,
Anthony Crivello,1955-08-02,1955-01-01T00:00:00+02:00,{Actor|Singing|Anthony_Crivello__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Anthony_Crivello__1},"['actor', 'sing']",True,False,False,,,,,
Antonio Valero,1955-08-25,1955-01-01T00:00:00+02:00,{Actor|Antonio_Valero__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Antonio_Valero__1},['actor'],True,False,False,,,,,
Anupam Kher,1955-03-07,1955-01-01T00:00:00+02:00,{Actor|Film director|Film producer|Anupam_Kher__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Anupam_Kher__1},['actor'],True,False,False,,,,,
Are Helseth,1955-01-11,1955-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Ornella Muti,1955-03-09,1955-01-01T00:00:00+02:00,{Actor|Ornella_Muti__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ornella_Muti__1},['actor'],True,False,False,,,,,
Pai Ping-ping,1955-05-17,1955-01-01T00:00:00+02:00,{Celebrity|Actor|Singing|Activism},{http://dbpedia.org/resource/Celebrity|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Activism},"['actor', 'sing']",True,False,False,,,,,
Pat DiNizio,1955-10-12,1955-01-01T00:00:00+02:00,{Actor|Musician|Politician|Songwriter|Film producer},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Songwriter|http://dbpedia.org/resource/Film_producer},"['actor', 'politician', 'musician', 'songwriter']",True,True,False,,,,,
Raimo Manninen (athlete),1955-09-17,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Rainhard Fendrich,1955-02-27,1955-01-01T00:00:00+02:00,{Entertainment|Actor|Musician|Composer},{http://dbpedia.org/resource/Entertainment|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Composer},"['actor', 'musician']",True,False,False,,,,,
Raisa Etush,1955-09-20,1955-01-01T00:00:00+02:00,{Actor|Raisa_Etush__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Raisa_Etush__1},['actor'],True,False,False,,,,,
Rajendra Chaudhary (Rajasthan politician),1955-08-25,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Ran Ito,1955-01-13,1955-01-01T00:00:00+02:00,{Actor|Ran_Ito__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ran_Ito__1},['actor'],True,False,False,,,,,
Randy Graff,1955-05-23,1955-01-01T00:00:00+02:00,{Actor|Randy_Graff__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Randy_Graff__1},['actor'],True,False,False,,,,,
Randy White (West Virginia politician),1955-05-10,1955-01-01T00:00:00+02:00,Business manager,http://dbpedia.org/resource/Business_manager,['politician'],False,True,False,,,,,
Raul Torres (Texas politician),1955-02-06,1955-01-01T00:00:00+02:00,Certified Public Accountant,http://dbpedia.org/resource/Certified_Public_Accountant,['politician'],False,True,False,,,,,
Rene Kirby,1955-02-27,1955-01-01T00:00:00+02:00,{Actor|Rene_Kirby__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Rene_Kirby__1},['actor'],True,False,False,,,,,
Rex Smith,1955-09-19,1955-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,False,,,,,
Richard Anderson (politician),1955-05-30,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Philip Bretherton,1955-05-30,1955-01-01T00:00:00+02:00,{Actor|Presenter|Philip_Bretherton__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Philip_Bretherton__1},['actor'],True,False,False,,,,,
Pierre Bokma,1955-12-20,1955-01-01T00:00:00+02:00,{Actor|Pierre_Bokma__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Pierre_Bokma__1},['actor'],True,False,False,,,,,
Priyadarshini (actress),{1955-06-04|1978-06-04},1955-01-01T00:00:00+02:00,{Actor|Priyadarshini_(actress)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Priyadarshini_(actress)__1},['actor'],True,False,False,,,,,
Priyadarshini Ram,{1955-10-24|1965-10-25},{1955-01-01T00:00:00+02:00|1965-01-01T00:00:00+02:00},{Actor|Priyadarshini_Ram__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Priyadarshini_Ram__1},['actor'],True,False,False,,,,,
R. Dilip (Tamil actor),1955-01-01T00:00:00+02:00,1955-01-01T00:00:00+02:00,R._Dilip_(Tamil_actor)__1,http://dbpedia.org/resource/R._Dilip_(Tamil_actor)__1,['actor'],True,False,False,2012-05-25,,,,
Alberta Watson,1955-03-06,1955-01-01T00:00:00+02:00,{Actor|Alberta_Watson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Alberta_Watson__1},['actor'],True,False,False,,,,,
Aleksander Krupa,1955-08-31,1955-01-01T00:00:00+02:00,{Actor|Aleksander_Krupa__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Aleksander_Krupa__1},['actor'],True,False,False,,,,,
Alexandra Colen,1955-07-09,1955-01-01T00:00:00+02:00,{Politician|Alexandra_Colen__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Alexandra_Colen__1},['politician'],False,True,False,,,,,
Alfred Vanderpuije,1955-11-04,1955-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Richard Spencer (athlete),1955-07-16,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Richard Stevens (politician),1955-01-01T00:00:00+02:00,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Rita Verdonk,1955-10-18,1955-01-01T00:00:00+02:00,{Management consulting|Prison officer|Columnist|Politician|Civil service|Entrepreneurship},{http://dbpedia.org/resource/Management_consulting|http://dbpedia.org/resource/Prison_officer|http://dbpedia.org/resource/Columnist|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Civil_service|http://dbpedia.org/resource/Entrepreneurship},['politician'],False,True,False,,,,,
Rob Orr (Texas politician),1955-12-20,1955-01-01T00:00:00+02:00,Real estate,http://dbpedia.org/resource/Real_estate,['politician'],False,True,False,,,,,
Robert Menzies (actor),1955-11-04,1955-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
Robert Woodbury (athlete),1955-05-10,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Robert ten Brink,1955-10-20,1955-01-01T00:00:00+02:00,{Actor|Presenter|Robert_ten_Brink__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Robert_ten_Brink__1},['actor'],True,False,False,,,,,
Robin Campbell (politician),1955-09-09,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
T. Rajendar,1955-05-09,1955-01-01T00:00:00+02:00,{Actor|Film director|Cinematographer|Musician|Screenwriter|Choreography|Songwriter|Film producer|Playback singer|T._Rajendar__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Cinematographer|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Choreography|http://dbpedia.org/resource/Songwriter|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Playback_singer|http://dbpedia.org/resource/T._Rajendar__1},"['actor', 'musician', 'sing', 'songwriter']",True,False,False,,,,,
Tanya Roberts,1955-10-15,1955-01-01T00:00:00+02:00,{Television producer|Actor|Tanya_Roberts__1},{http://dbpedia.org/resource/Television_producer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tanya_Roberts__1},['actor'],True,False,False,,,,,
Ted Robbins,1955-08-11,1955-01-01T00:00:00+02:00,{Celebrity|Disc jockey|Actor|Voice-over|Comedian|Presenter|Radio personality|Ted_Robbins__1|Ted_Robbins__2|Ted_Robbins__3|Ted_Robbins__4|Ted_Robbins__5},{http://dbpedia.org/resource/Celebrity|http://dbpedia.org/resource/Disc_jockey|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice-over|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Radio_personality|http://dbpedia.org/resource/Ted_Robbins__1|http://dbpedia.org/resource/Ted_Robbins__2|http://dbpedia.org/resource/Ted_Robbins__3|http://dbpedia.org/resource/Ted_Robbins__4|http://dbpedia.org/resource/Ted_Robbins__5},['actor'],True,False,False,,,,,
Ted van der Parre,1955-09-02,1955-01-01T00:00:00+02:00,{Strongman (strength athlete)|Ted_van_der_Parre__1},{http://dbpedia.org/resource/Strongman_(strength_athlete)|http://dbpedia.org/resource/Ted_van_der_Parre__1},['athlete'],False,False,True,,,,,
Teddy Eccles,{1955-06-06|1955-06-09},1955-01-01T00:00:00+02:00,{Actor|Teddy_Eccles__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Teddy_Eccles__1},['actor'],True,False,False,,,,,
Teresa Ann Savoy,1955-07-18,1955-01-01T00:00:00+02:00,{Actor|Teresa_Ann_Savoy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Teresa_Ann_Savoy__1},['actor'],True,False,False,,,,,
Terry Austin (politician),1955-10-16,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Terry Finn,1955-08-06,1955-01-01T00:00:00+02:00,{Actor|Terry_Finn__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Terry_Finn__1},['actor'],True,False,False,,,,,
Darnell Williams,1955-03-03,1955-01-01T00:00:00+02:00,{Actor|Darnell_Williams__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Darnell_Williams__1},['actor'],True,False,False,,,,,
Darrell Hammond,1955-10-08,1955-01-01T00:00:00+02:00,{Actor|Darrell_Hammond__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Darrell_Hammond__1},['actor'],True,False,False,,,,,
Darryl Cox (actor),1955-04-08,1955-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
Daryl Jones (politician),1955-01-01T00:00:00+02:00,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
David Bennett (Rhode Island politician),1955-04-08,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
David Bowe (politician),1955-07-19,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
David Hahn (American politician),1955-01-01T00:00:00+02:00,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
David Jewell (poet),1955-10-25,1955-01-01T00:00:00+02:00,{Author|Actor|Performance poetry|Photographer|Poet|David_Jewell_(poet)__1},{http://dbpedia.org/resource/Author|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Performance_poetry|http://dbpedia.org/resource/Photographer|http://dbpedia.org/resource/Poet|http://dbpedia.org/resource/David_Jewell_(poet)__1},['actor'],True,False,False,,,,,
David Liebe Hart,1955-04-19,1955-01-01T00:00:00+02:00,{Actor|Musician|Puppeteer|David_Liebe_Hart__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Puppeteer|http://dbpedia.org/resource/David_Liebe_Hart__1},"['actor', 'musician']",True,False,False,,,,,
David Lloyd (actor),1955-05-17,1955-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
David Millar (politician),1955-12-29,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
David Morris (Australian politician),1955-12-30,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
David Pratt (politician),1955-01-03,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
David Wilson (Canadian politician),1955-11-04,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Deddy Mizwar,1955-03-05,1955-01-01T00:00:00+02:00,{Actor|Film director|Film producer|Deddy_Mizwar__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Deddy_Mizwar__1},['actor'],True,False,False,,,,,
Dee Snider,1955-03-15,1955-01-01T00:00:00+02:00,{Actor|Musician|Screenwriter|Songwriter|Voice acting|Radio personality|Television presenter|Spokesperson},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Songwriter|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Radio_personality|http://dbpedia.org/resource/Television_presenter|http://dbpedia.org/resource/Spokesperson},"['actor', 'musician', 'songwriter']",True,False,False,,,,,
George Malley (athlete),1955-07-28,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
George Skene (pentathlete),1955-03-05,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Gerd Müller (politician),1955-08-25,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Gerry Sundquist,1955-10-06,1955-01-01T00:00:00+02:00,{Actor|Gerry_Sundquist__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gerry_Sundquist__1},['actor'],True,False,False,1993-08-01,,,,
Gilles Bernier (New Brunswick politician),1955-08-06,1955-01-01T00:00:00+02:00,Businessperson,http://dbpedia.org/resource/Businessperson,['politician'],False,True,False,,,,,
Gilly Coman,1955-09-13,1955-01-01T00:00:00+02:00,{Actor|Gilly_Coman__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gilly_Coman__1},['actor'],True,False,False,2010-07-13,,,,
Gloria Guida,1955-11-19,1955-01-01T00:00:00+02:00,{Actor|Model (profession)|Gloria_Guida__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Gloria_Guida__1},['actor'],True,False,False,,,,,
Gloria Romero (California politician),1955-07-10,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Mohammad-Reza Sharifinia,1955-06-15,1955-01-01T00:00:00+02:00,{Assistant director|Actor|Mohammad-Reza_Sharifinia__1},{http://dbpedia.org/resource/Assistant_director|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mohammad-Reza_Sharifinia__1},['actor'],True,False,False,,,,,
Benoît Ferreux,1955-09-29,1955-01-01T00:00:00+02:00,{Actor|Beno%C3%AEt_Ferreux__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Beno%C3%AEt_Ferreux__1},['actor'],True,False,False,,,,,
Betsy Baker,1955-05-08,1955-01-01T00:00:00+02:00,{Actor|Betsy_Baker__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Betsy_Baker__1},['actor'],True,False,False,,,,,
Betsy Randle,1955-06-24,1955-01-01T00:00:00+02:00,{Actor|Betsy_Randle__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Betsy_Randle__1},['actor'],True,False,False,,,,,
Betty Lago,1955-06-24,1955-01-01T00:00:00+02:00,{Actor|Model (profession)|Betty_Lago__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Betty_Lago__1},['actor'],True,False,False,,,,,
Bevan Dufty,1955-02-27,1955-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Bianca Ferguson,1955-02-11,1955-01-01T00:00:00+02:00,{Actor|Bianca_Ferguson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Bianca_Ferguson__1},['actor'],True,False,False,,,,,
Bill Foster (politician),1955-10-07,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Božo Kovačević (politician),1955-01-11,1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Bob Baldwin,1955-03-09,1955-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Bob Hodge (athlete),1955-01-01T00:00:00+02:00,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Branislav Lečić,1955-08-25,1955-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,False,,,,,
Branscombe Richmond,1955-08-08,1955-01-01T00:00:00+02:00,{Character actor|Branscombe_Richmond__1},{http://dbpedia.org/resource/Character_actor|http://dbpedia.org/resource/Branscombe_Richmond__1},['actor'],True,False,False,,,,,
Brendan O'Carroll,1955-09-15,1955-01-01T00:00:00+02:00,{Actor|Comedian|Brendan_O'Carroll__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Brendan_O'Carroll__1},['actor'],True,False,False,,,,,
Bruce Hopkins (actor),1955-11-25,1955-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
Bruce Hunter (politician),{1955-01-01T00:00:00+02:00|1955-06-22},1955-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Bruno Bruni (athlete),1955-09-25,1955-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Byron Cherry,{1955-04-15|1955-04-17},1955-01-01T00:00:00+02:00,{Actor|Businessperson|Entrepreneurship|Byron_Cherry__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Businessperson|http://dbpedia.org/resource/Entrepreneurship|http://dbpedia.org/resource/Byron_Cherry__1},['actor'],True,False,False,,,,,
C. Karuppasamy,{1955-01-01T00:00:00+02:00|1955-03-22},1955-01-01T00:00:00+02:00,{Agriculture|Politician|C._Karuppasamy__1},{http://dbpedia.org/resource/Agriculture|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/C._Karuppasamy__1},['politician'],False,True,False,0022-01-01T00:00:00+02:00,,,,
